Player_URL,Name,Team_URL,Team,Age,Position,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS,AerialsWon,MotM,Rating
https://www.whoscored.com/Players/367008/Show/Robin-Le-Normand,Robin Le Normand,https://www.whoscored.com/Teams/68/Show/Spain-Real-Sociedad,"Real Sociedad, ",27,",  D(C)  ",28(1),2473	,2	,-	,13	,-	,0.3	,88.6	,3.9	,1	,6.77
https://www.whoscored.com/Players/498386/Show/Pau-Cubars%C3%AD,Pau Cubarsí,https://www.whoscored.com/Teams/65/Show/Spain-Barcelona,"Barcelona, ",17,",  D(C)  ",18(1),1563	,-	,-	,4	,-	,0.2	,91.7	,1.5	,-	,6.77
https://www.whoscored.com/Players/241019/Show/Jonathan-Bamba,Jonathan Bamba,https://www.whoscored.com/Teams/62/Show/Spain-Celta-Vigo,"Celta Vigo, ",28,",  AM(CLR),FW  ",24(3),1997	,3	,2	,-	,-	,1.5	,80.7	,0.3	,-	,6.76
https://www.whoscored.com/Players/303800/Show/Lucas-Boy%C3%A9,Lucas Boyé,https://www.whoscored.com/Teams/925/Show/Spain-Granada,"Granada, ",28,",  AM(L),FW  ",30(1),2555	,6	,3	,8	,1	,1.8	,73.7	,1.9	,2	,6.76
https://www.whoscored.com/Players/384711/Show/Ronald-Araujo,Ronald Araujo,https://www.whoscored.com/Teams/65/Show/Spain-Barcelona,"Barcelona, ",25,",  D(CR)  ",21(4),1996	,1	,2	,6	,-	,0.9	,89.6	,2.4	,-	,6.75
https://www.whoscored.com/Players/296367/Show/Nemanja-Maksimovic,Nemanja Maksimovic,https://www.whoscored.com/Teams/819/Show/Spain-Getafe,"Getafe, ",29,",  M(C)  ",37,3272	,4	,-	,4	,-	,0.9	,82	,1.9	,2	,6.74
https://www.whoscored.com/Players/39187/Show/%C3%98rjan-Nyland,Ørjan Nyland,https://www.whoscored.com/Teams/67/Show/Spain-Sevilla,"Sevilla, ",33,",  GK  ",24,2160	,-	,-	,1	,-	,-	,56.7	,0.5	,1	,6.74
https://www.whoscored.com/Players/344156/Show/Mario-Hermoso,Mario Hermoso,https://www.whoscored.com/Teams/63/Show/Spain-Atletico,"Atletico, ",29,",  D(CL)  ",29(2),2558	,-	,1	,9	,-	,0.5	,87.1	,1.5	,1	,6.74
https://www.whoscored.com/Players/119817/Show/Jos%C3%A9-Gay%C3%A0,José Gayà,https://www.whoscored.com/Teams/55/Show/Spain-Valencia,"Valencia, ",29,",  D(L),M(L)  ",22(2),1799	,1	,2	,2	,-	,0.4	,79.2	,0.5	,-	,6.74
https://www.whoscored.com/Players/106596/Show/Sergi-Darder,Sergi Darder,https://www.whoscored.com/Teams/51/Show/Spain-Mallorca,"Mallorca, ",30,",  M(CLR)  ",21(15),2155	,2	,5	,4	,-	,0.9	,79.5	,0.2	,2	,6.73
