Name,Team,Age,Position,Apps,Mins,Assists,KeyP,AvgP,PS,Crosses,LongB,ThrB,Rating
Jim Allevinah,"Clermont Foot, ",29,",  M(CLR)  ",22(7),1880	,1	,0.7	,21.9	,83.8	,0.3	,0.3	,-	,6.55
Yusuf Yazici,"Lille, ",27,",  M(CLR),FW  ",16(11),1318	,2	,0.7	,17.3	,79.2	,0.3	,0.4	,-	,6.54
Fali Candé,"Metz, ",26,",  D(CL),M(L)  ",20(5),1846	,1	,0.2	,30.1	,80.2	,-	,2.8	,-	,6.54
Andy Diouf,"Lens, ",21,",  M(C)  ",16(9),1321	,-	,0.8	,27.5	,84.3	,0.5	,0.2	,-	,6.54
Falaye Sacko,"Montpellier, ",29,",  D(CLR),M(R)  ",15(4),1380	,1	,0.4	,32.6	,79.3	,0.3	,1.1	,-	,6.54
Elye Wahi,"Lens, ",21,",  AM(L),FW  ",20(7),1704	,3	,0.6	,10.5	,75.4	,-	,0.1	,-	,6.54
Maxime Colin,"Metz, ",32,",  D(CLR),M(R)  ",22,1836	,-	,0.2	,30.4	,71	,0.4	,1.4	,-	,6.53
Emmanuel Sabbi,"Le Havre, ",26,",  AM(L)  ",18(12),1589	,1	,0.3	,11.3	,73.5	,0.1	,0.2	,-	,6.53
Josué Casimir,"Le Havre, ",22,",  M(LR),FW  ",25(5),2035	,5	,1	,21.3	,77.1	,0.2	,0.5	,-	,6.53
Cheick Oumar Konaté,"Clermont Foot, ",20,",  D(C),M(R)  ",12(7),1069	,1	,0.8	,20.1	,70.6	,0.5	,0.7	,-	,6.53
Ludovic Blas,"Rennes, ",26,",  M(CLR),FW  ",18(11),1568	,1	,0.7	,15.4	,85.5	,0.3	,1.1	,-	,6.52
Tiémoué Bakayoko,"Lorient, ",29,",  DMC  ",15(5),1317	,1	,0.2	,31.7	,86.6	,-	,1.2	,0.1	,6.51
Jordan Lotomba,"Nice, ",25,",  D(LR),M(R)  ",21(7),1809	,-	,0.4	,29.1	,85.9	,0.2	,0.4	,-	,6.51
Emanuel Emegha,"Strasbourg, ",21,",  FW  ",23(5),2090	,1	,0.3	,10.4	,73.3	,-	,-	,-	,6.51
Marcus Coco,"Nantes, ",28,",  D(R),M(LR),FW  ",18(10),1489	,-	,0.4	,18.5	,77.4	,0.4	,0.4	,-	,6.51
Daler Kuzyaev,"Le Havre, ",31,",  D(R),M(CLR)  ",24(6),2099	,2	,1	,33.9	,80.5	,0.1	,0.9	,0.1	,6.51
Pedro Chirivella,"Nantes, ",27,",  DMC  ",31(1),2603	,1	,0.6	,53.1	,86.9	,0.4	,3.1	,0.1	,6.50
Gaëtan Laborde,"Nice, ",30,",  AM(CLR),FW  ",22(12),1914	,2	,0.8	,14.4	,70.6	,0.5	,0.4	,-	,6.50
Mathias Pereira Lage,"Brest, ",27,",  M(CLR)  ",12(18),1182	,2	,0.5	,10.9	,76.7	,0.5	,0.2	,-	,6.50
Frank Magri,"Toulouse, ",24,",  FW  ",14(15),1434	,2	,0.5	,10.7	,71.7	,0.1	,0.1	,-	,6.49
Wesley Saïd,"Lens, ",29,",  AM(CLR),FW  ",11(16),1015	,1	,0.4	,9.1	,75.2	,0.1	,0.4	,-	,6.49
Oumar Diakité,"Reims, ",20,",  FW  ",18(10),1590	,1	,0.5	,10.8	,79.1	,-	,-	,0.1	,6.49
Adam Ounas,"Lille, ",27,",  AM(CLR),FW  ",3(14),408	,-	,0.8	,9.9	,76.9	,0.4	,0.5	,0.1	,6.49
Maxime Gonalons,"Clermont Foot, ",35,",  D(C),M(C)  ",17(4),1310	,-	,0.3	,36.7	,86.5	,-	,2.5	,-	,6.49
Amir Richardson,"Reims, ",22,",  M(C)  ",14(14),1352	,1	,0.4	,22.5	,83.5	,0.1	,1.1	,-	,6.48
Azzedine Ounahi,"Marseille, ",24,",  AM(CR)  ",15(6),1215	,-	,0.7	,37.6	,90.6	,0.2	,1	,-	,6.48
Shamar Nicholson,"Clermont Foot, ",27,",  AM(C),FW  ",17(9),1487	,3	,0.7	,14.6	,71.1	,0.1	,0.5	,-	,6.48
Johan Gastien,"Clermont Foot, ",36,",  DMC  ",28,2273	,-	,1.1	,59	,83.8	,0.5	,4.4	,0.1	,6.47
Guillaume Restes,"Toulouse, ",19,",  GK  ",34,3060	,-	,-	,23.6	,71.7	,-	,3.4	,-	,6.47
Carlos Soler,"PSG, ",27,",  M(CLR)  ",12(12),1089	,2	,0.8	,30.8	,87.5	,0.2	,1.2	,0.1	,6.47
Loïc Négo,"Le Havre, ",33,",  D(R),M(CR)  ",18(10),1565	,3	,0.5	,18.3	,77.5	,0.5	,0.4	,-	,6.47
Jean-Kévin Duverne,"Nantes, ",26,",  D(CLR)  ",15(4),1350	,-	,0.2	,34.5	,81.7	,0.2	,1.7	,-	,6.46
Evann Guessand,"Nice, ",23,",  AM(R),FW  ",14(20),1544	,-	,0.4	,8.3	,76.6	,-	,0.1	,0.1	,6.46
Ibrahima Sissoko,"Strasbourg, ",26,",  D(C),DMC  ",18(9),1641	,1	,0.4	,27.7	,81.9	,-	,1.3	,-	,6.45
Kévin N'Doram,"Metz, ",28,",  DMC  ",18(5),1605	,2	,0.3	,26.3	,79	,-	,2.3	,-	,6.45
Jérémy Le Douaron,"Brest, ",26,",  AM(L),FW  ",19(14),1622	,-	,0.3	,10.4	,71.6	,0.2	,0.4	,-	,6.45
Kévin Van Den Kerkhof,"Metz, ",28,",  AM(R)  ",21(8),1920	,2	,0.7	,13.4	,66.1	,1	,0.6	,-	,6.45
Enzo Tchato,"Montpellier, ",21,",  D(R)  ",11(6),1123	,-	,0.4	,28.6	,79.6	,0.6	,1.5	,-	,6.45
Ivan Cavaleiro,"Lille, ",30,",  AM(CLR),FW  ",9(8),777	,1	,0.7	,14.9	,79.1	,0.4	,0.3	,-	,6.44
Gabriel Gudmundsson,"Lille, ",25,",  D(L),M(LR)  ",14(11),1264	,-	,0.5	,18.2	,81.8	,0.3	,0.5	,-	,6.44
Cheikh Sabaly,"Metz, ",25,",  AM(L)  ",17(12),1388	,1	,0.3	,12.2	,80.6	,-	,0.5	,-	,6.44
Ibrahim Salah,"Rennes, ",22,",  AM(L),FW  ",4(19),510	,1	,0.2	,9.2	,81.6	,0.2	,0.4	,-	,6.44
Malick Fofana,"Lyon, ",19,",  M(L)  ",4(13),550	,-	,0.4	,9.1	,87.1	,0.2	,0.3	,-	,6.43
Jonas Martin,"Brest, ",34,",  M(CL)  ",9(22),1194	,1	,0.5	,30.5	,87.8	,0.1	,1.6	,-	,6.43
Arthur Atta,"Metz, ",21,",  M(C)  ",10(11),922	,2	,0.6	,18.2	,76.2	,0.2	,1.3	,-	,6.43
Yassine Kechta,"Le Havre, ",22,",  M(C)  ",21(11),1857	,1	,0.8	,29.1	,82.4	,0.1	,1.3	,0.1	,6.43
Jordan Ferri,"Montpellier, ",32,",  M(C)  ",24(7),2042	,1	,0.9	,41.4	,84.2	,0.4	,2.4	,0.1	,6.42
Théo Le Bris,"Lorient, ",21,",  M(L)  ",15(11),1515	,2	,0.5	,22.2	,80.7	,0.1	,0.4	,-	,6.42
Khalil Fayad,"Montpellier, ",20,",  M(CL)  ",11(12),1023	,-	,0.3	,14.2	,83.1	,-	,0.5	,-	,6.42
Reda Khadra,"Reims, ",23,",  AM(CLR),FW  ",14(15),1365	,3	,0.8	,11.1	,80.4	,0.4	,0.4	,0.1	,6.41
Aron Dønnum,"Toulouse, ",26,",  M(CLR)  ",19(8),1604	,1	,0.9	,19.7	,77.6	,0.3	,1.2	,0.1	,6.41
Jeanuël Belocian,"Rennes, ",19,",  D(CL)  ",16(7),1450	,1	,0.3	,35	,89.5	,0.1	,1.6	,-	,6.41
Danley Jean Jacques,"Metz, ",24,",  DMC  ",30(3),2687	,-	,0.3	,21.9	,78.8	,0.1	,1.3	,-	,6.41
Matz Sels,"Strasbourg, ",32,",  GK  ",19,1710	,-	,0.1	,29.1	,70.1	,-	,6.3	,-	,6.40
Christophe Hérelle,"Metz, ",31,",  D(CR)  ",18(1),1620	,-	,0.1	,31.9	,89.3	,0.1	,2.7	,-	,6.40
Wahbi Khazri,"Montpellier, ",33,",  M(CLR),FW  ",13(12),1133	,-	,0.4	,11.9	,73.2	,0.1	,0.8	,0.1	,6.40
Warren Kamanzi,"Toulouse, ",23,",  D(R),M(R)  ",12(12),1183	,3	,0.5	,21.8	,85.3	,0.1	,0.5	,-	,6.40
Elbasan Rashani,"Clermont Foot, ",31,",  AM(CLR)  ",14(10),1178	,-	,0.5	,15	,80	,0.1	,0.1	,-	,6.38
Eli Kroupi,"Lorient, ",18,",  FW  ",11(19),1078	,3	,0.4	,8.6	,80.3	,0.2	,0.2	,0.1	,6.38
Morgan Guilavogui,"Lens, ",26,",  Forward  ",2(21),556	,-	,0.6	,9.3	,77.1	,-	,0.3	,-	,6.38
Julien Laporte,"Lorient, ",30,",  D(C)  ",20(3),1819	,-	,-	,44.3	,86.5	,-	,3.8	,-	,6.38
Gédéon Kalulu,"Lorient, ",26,",  D(R),M(R)  ",11(8),969	,1	,0.4	,23.3	,82.8	,0.4	,0.7	,-	,6.37
Ismaël Doukouré,"Strasbourg, ",20,",  D(C),DMC  ",19(3),1660	,-	,0.4	,34.6	,85.8	,-	,2.5	,-	,6.37
Alexis Claude-Maurice,"Nice, ",26,",  AM(CL)  ",4(14),496	,-	,0.4	,12.5	,85.3	,0.4	,0.3	,-	,6.36
Kevin Gameiro,"Strasbourg, ",37,",  AM(C),FW  ",15(12),1349	,2	,0.9	,16.7	,82.7	,-	,0.5	,0.1	,6.36
Andy Pelmard,"Clermont Foot, ",24,",  D(CR)  ",33(1),2988	,-	,0.2	,47.3	,85.4	,-	,1.7	,0.1	,6.36
Saël Kumbedi,"Lyon, ",19,",  D(R),M(R)  ",8(9),917	,1	,0.3	,28.6	,81.9	,0.2	,0.5	,0.1	,6.36
Adrien Thomasson,"Lens, ",30,",  M(CLR)  ",13(16),1195	,2	,1	,21.6	,78.8	,0.4	,0.3	,-	,6.36
Yohann Magnin,"Clermont Foot, ",27,",  M(C)  ",17(14),1679	,-	,0.3	,26.2	,84.6	,0.2	,1.3	,-	,6.36
Thibault De Smet,"Reims, ",26,",  D(L),M(L)  ",22(5),1835	,-	,0.5	,31.9	,80.6	,0.2	,1.5	,-	,6.35
Bilal Boutobba,"Clermont Foot, ",25,",  AM(R)  ",10(17),921	,1	,0.4	,12.3	,76.3	,0.6	,0.2	,0.1	,6.35
Thomas Foket,"Reims, ",29,",  D(CLR),M(R)  ",22(5),1838	,1	,0.4	,31	,82.2	,0.3	,1.6	,-	,6.35
Mama Baldé,"Lyon, ",28,",  D(R),M(CLR),FW  ",4(16),543	,3	,0.7	,6.5	,67.7	,-	,0.2	,0.1	,6.35
Ismaël Traoré,"Metz, ",37,",  D(CR)  ",25(1),2221	,-	,0.1	,29.8	,86.9	,-	,2.4	,-	,6.35
Maximiliano Caufriez,"Clermont Foot, ",27,",  D(CR)  ",20,1666	,1	,0.5	,43.6	,87.6	,0.1	,2.6	,-	,6.34
Joel Asoro,"Metz, ",25,",  AM(R),FW  ",10(10),850	,1	,0.4	,6.3	,71.4	,0.2	,0.2	,-	,6.33
Abdoul Kader Bamba,"Nantes, ",30,",  AM(LR)  ",1(22),598	,1	,0.5	,13.1	,84.7	,0.3	,0.5	,0.1	,6.32
Antoine Joujou,"Le Havre, ",21,",  AM(L)  ",6(17),767	,2	,0.4	,10.4	,75	,0.1	,0.2	,-	,6.32
Moussa Sissoko,"Nantes, ",34,",  M(CR)  ",21(5),1823	,-	,0.5	,25	,81.7	,0.2	,0.8	,0.1	,6.31
Hákon Haraldsson,"Lille, ",21,",  AM(CL),FW  ",15(11),1290	,-	,0.6	,20.6	,83.4	,-	,0.5	,0.1	,6.30
Samuel Moutoussamy,"Nantes, ",27,",  M(CL)  ",11(15),1100	,-	,0.4	,19	,84.2	,-	,0.5	,-	,6.29
Moïse Sahi,"Strasbourg, ",22,",  Forward  ",7(11),625	,1	,0.3	,9.2	,80.1	,0.1	,0.4	,-	,6.27
Mehdi Zeffane,"Clermont Foot, ",32,",  D(LR),M(R)  ",15(8),1227	,-	,0.4	,23.8	,78.6	,0.2	,1.2	,-	,6.26
Massadio Haïdara,"Lens, ",31,",  D(CL),M(L)  ",7(11),737	,1	,0.1	,20.3	,86.3	,0.2	,0.6	,-	,6.25
Grejohn Kyei,"Clermont Foot, ",28,",  FW  ",10(16),1018	,1	,0.5	,10	,75.8	,-	,0.7	,-	,6.25
Aiyegun Tosin,"Lorient, ",26,",  AM(C),FW  ",10(9),903	,-	,0.4	,10.1	,80.1	,-	,0.3	,-	,6.22
Salis Abdul Samed,"Lens, ",24,",  DMC  ",17(10),1516	,-	,0.2	,32.9	,89.2	,0.1	,0.7	,-	,6.22
Bertug Yildirim,"Rennes, ",21,",  FW  ",2(19),455	,1	,0.2	,5	,69.5	,-	,-	,-	,6.21
Léo Leroy,"Montpellier, ",24,",  DMC  ",4(18),487	,1	,0.2	,8.3	,72.5	,-	,0.5	,-	,6.17
Jessy Deminguet,"Strasbourg, ",26,",  M(CL)  ",9(9),688	,-	,0.1	,13.4	,88.8	,0.1	,0.8	,-	,6.13
Rassoul Ndiaye,"Le Havre, ",22,",  M(C)  ",6(13),518	,-	,0.1	,13.4	,81.2	,0.1	,0.4	,-	,6.11
Samuel Grandsir,"Le Havre, ",27,",  AM(LR)  ",4(19),591	,1	,0.6	,10.6	,80.7	,0.3	,0.1	,-	,6.11
Romain Perraud,"Nice, ",26,",  D(L),M(L)  ",2(17),360	,1	,0.2	,9.6	,78.1	,0.1	,0.2	,-	,6.09
Billal Brahimi,"Brest, ",24,",  AM(L),FW  ",1(17),209	,-	,0.3	,4.8	,73.6	,0.3	,0.3	,-	,6.07
