Name,Team,Age,Position,Apps,Mins,Assists,KeyP,AvgP,PS,Crosses,LongB,ThrB,Rating
Anthony Lopes,"Lyon, ",33,",  GK  ",31,2790	,-	,-	,28.4	,70.4	,-	,5.7	,-	,6.92
Takumi Minamino,"Monaco, ",29,",  AM(CLR),FW  ",25(5),2128	,6	,1.1	,27.8	,75.9	,0.1	,0.6	,0.2	,6.92
Gonçalo Ramos,"PSG, ",23,",  AM(C),FW  ",16(13),1422	,1	,0.6	,13.5	,77.3	,-	,0.1	,0.1	,6.91
Laurent Abergel,"Lorient, ",31,",  DMC  ",32(1),2862	,1	,0.9	,54	,85.9	,0.2	,2.9	,0.1	,6.91
Emmanuel Agbadou,"Reims, ",27,",  D(CR),DMC  ",29(3),2597	,1	,0.4	,55.6	,87.2	,0.1	,4.3	,0.1	,6.91
Thijs Dallinga,"Toulouse, ",23,",  FW  ",28(5),2518	,2	,0.5	,18.3	,68.3	,0.1	,0.5	,-	,6.90
Khéphren Thuram,"Nice, ",23,",  DMC,M(L)  ",25(2),2114	,1	,1.1	,41	,87.4	,0.3	,1	,0.1	,6.90
Ruben Aguilar,"Lens, ",31,",  D(R),M(R)  ",22(3),1923	,3	,1	,41.4	,84	,0.7	,1	,0.1	,6.90
Dilane Bakwa,"Strasbourg, ",21,",  AM(CLR)  ",25(6),2188	,6	,1.6	,21.6	,76.9	,1.4	,0.5	,0.1	,6.90
Ismaily,"Lille, ",34,",  D(L)  ",28(2),2467	,1	,0.3	,42.5	,83.4	,0.2	,1	,-	,6.89
Frédéric Guilbert,"Strasbourg, ",29,",  D(CLR),M(R)  ",29(3),2495	,-	,0.7	,38.1	,80.7	,0.5	,1.8	,-	,6.89
Melvin Bard,"Nice, ",23,",  D(L),M(L)  ",31(1),2663	,2	,0.6	,46	,84	,0.6	,0.9	,-	,6.88
Romain Faivre,"Lorient, ",25,",  AM(CLR)  ",16(1),1453	,1	,0.9	,32.8	,86.9	,0.4	,0.9	,0.1	,6.88
Angel Gomes,"Lille, ",23,",  M(CL),FW  ",29(2),2583	,8	,1.5	,54.7	,91.3	,0.4	,3.6	,0.2	,6.88
