Player_URL,Name,Team_URL,Team,Age,Position,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS,AerialsWon,MotM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Drb_x,Blocks,OwnG,KeyP,Drb_y,Fouled,Off,Disp,UnsTch,AvgP,Crosses,LongB,ThrB,Value
https://www.whoscored.com/Players/236575/Show/Unai-L%C3%B3pez,Unai López,https://www.whoscored.com/Teams/64/Show/Spain-Rayo-Vallecano,"Rayo Vallecano, ",28,",  M(CR)  ",28(7),2127,1	,2	,9	,-	,0.9	,84.3,0.5	,1	,6.51,1.4	,0.5	,1.7	,-	,0.4	,0.9	,0.1	,-	,0.9	,0.6	,0.6	,0.1	,0.7	,0.7	,39.0,0.7	,2.3	,-	,€3.00m  
https://www.whoscored.com/Players/282348/Show/Mattias-Svanberg,Mattias Svanberg,https://www.whoscored.com/Teams/33/Show/Germany-Wolfsburg,"Wolfsburg, ",25,",  M(CLR)  ",20(5),1727,1	,3	,8	,-	,1.7	,75.2,0.8	,-	,6.63,1.5	,0.8	,1.7	,-	,1	,1	,0.2	,-	,1	,0.6	,1.3	,0.1	,0.4	,1.4	,30.0,0.4	,0.9	,-	,€12.00m  
https://www.whoscored.com/Players/78386/Show/Matz-Sels,Matz Sels,https://www.whoscored.com/Teams/148/Show/France-Strasbourg,"Strasbourg, ",32,",  GK  ",19,1710,-	,-	,2	,-	,-	,70.1,0.3	,-	,6.4,-	,-	,-	,-	,1	,-	,-	,-	,0.1	,-	,0.2	,-	,-	,-	,29.1,-	,6.3	,-	,€7.00m  
https://www.whoscored.com/Players/331383/Show/Nikola-Moro,Nikola Moro,https://www.whoscored.com/Teams/71/Show/Italy-Bologna,"Bologna, ",26,",  M(C)  ",10(13),838,1	,-	,-	,-	,0.5	,83.5,0.2	,1	,6.32,0.9	,0.3	,0.5	,-	,0.4	,0.3	,-	,-	,0.5	,0.2	,0.4	,-	,0.5	,0.4	,24.0,0.1	,1.5	,-	,€5.00m  
https://www.whoscored.com/Players/429038/Show/Yohann-Magnin,Yohann Magnin,https://www.whoscored.com/Teams/941/Show/France-Clermont-Foot,"Clermont Foot, ",27,",  M(C)  ",17(14),1679,1	,-	,2	,-	,0.5	,84.6,1	,-	,6.36,1.6	,0.6	,1.2	,-	,0.8	,0.8	,0.4	,-	,0.3	,0.1	,0.7	,-	,0.4	,1.2	,26.2,0.2	,1.3	,-	,€2.00m  
https://www.whoscored.com/Players/148503/Show/Ollie-Watkins,Ollie Watkins,https://www.whoscored.com/Teams/24/Show/England-Aston-Villa,"Aston Villa, ",28,",  AM(LR),FW  ",37,3227,19	,13	,4	,-	,2.9	,76.8,1.4	,7	,7.27,0.3	,0.1	,0.6	,0.1	,0.5	,0.2	,0.1	,-	,1.2	,0.7	,1.1	,0.4	,1.5	,2.1	,15.9,0.1	,0.1	,0.1	,€65.00m  
https://www.whoscored.com/Players/119189/Show/Rub%C3%A9n-Garc%C3%ADa,Rubén García,https://www.whoscored.com/Teams/131/Show/Spain-Osasuna,"Osasuna, ",30,",  AM(CLR),FW  ",19(11),1552,3	,2	,1	,-	,0.9	,72.7,1	,-	,6.63,1.1	,0.4	,0.8	,-	,0.5	,0.7	,0.1	,-	,1	,0.6	,0.9	,0.2	,0.8	,1	,22.2,0.9	,0.8	,-	,€2.50m  
https://www.whoscored.com/Players/256220/Show/Alexis-Blin,Alexis Blin,https://www.whoscored.com/Teams/79/Show/Italy-Lecce,"Lecce, ",27,",  DMC  ",16(15),1633,-	,2	,4	,-	,0.4	,87.5,1	,-	,6.35,1.1	,0.7	,0.8	,-	,1.2	,0.9	,0.1	,-	,0.2	,0.2	,0.7	,-	,0.4	,0.2	,24.4,0.1	,1	,-	,€3.00m  
https://www.whoscored.com/Players/286080/Show/Gabriel-Suazo,Gabriel Suazo,https://www.whoscored.com/Teams/246/Show/France-Toulouse,"Toulouse, ",26,",  D(L),M(L)  ",27(4),2363,-	,4	,5	,-	,0.3	,81.8,0.6	,-	,6.77,2.1	,0.8	,0.8	,0.1	,0.9	,1.5	,0.1	,-	,1.4	,1.1	,0.9	,0.1	,0.5	,1.1	,38.3,0.8	,1.3	,0.1	,€3.50m  
https://www.whoscored.com/Players/148684/Show/Nicol%C3%B2-Barella,Nicolò Barella,https://www.whoscored.com/Teams/75/Show/Italy-Inter,"Inter, ",27,",  AM(C)  ",34(3),2860,2	,3	,7	,-	,1.1	,86.4,0.5	,2	,6.79,1.2	,0.3	,0.8	,-	,0.3	,1.2	,-	,-	,1.1	,0.8	,0.7	,0.1	,0.8	,1.1	,56.4,0.4	,2.8	,0.1	,€80.00m  
https://www.whoscored.com/Players/399014/Show/Mohamed-Ali-Cho,Mohamed-Ali Cho,https://www.whoscored.com/Teams/613/Show/France-Nice,"Nice, ",20,",  AM(R),FW  ",11(6),866,1	,2	,2	,-	,1.1	,82.5,0.3	,1	,6.58,0.7	,0.2	,1	,-	,0.2	,0.5	,-	,-	,0.8	,0.9	,1.3	,0.2	,0.9	,1.1	,13.1,0.5	,0.1	,-	,€10.00m  
