Name,Value
Ruan Tressoldi,€2.50m  
Riccardo Marchizza,€2.50m  
Szymon Żurkowski,€2.50m  
Uros Racic,€2.50m  
Federico Bonazzoli,€2.50m  
David Okereke,€2.40m  
Junior Sambia,€2.00m  
Emil Konradsen Ceide,€2.00m  
Anthony Oyono,€2.00m  
Chukwubuikem Ikwuemesi,€1.80m  
Simone Bastoni,€1.50m  
Filippo Missori,€1.50m  
Giuseppe Caso,€1.50m  
Bartosz Bereszynski,€1.30m  
Luca Garritano,€1.20m  
Emanuel Vignato,€1.10m  
Francesco Gelli,€1.00m  
Antonio Candreva,€1.00m  
Marvin Cuni,€900k  
Andrea Consigli,€800k  
Mattia Caldara,€800k  
Simone Romagnoli,€800k  
Giorgi Kvernadze,€800k  
Michele Cerofolini,€700k  
Farès Ghedjemis,€600k  
Luigi Sepe,€500k  
Simy,€500k  
Pedro Obiang,€500k  
Andres Sfait,€500k  
Mikael,€300k  
Mateus Lusuardi,€300k  
Sergio Kalaj,€200k  
İsak Vural,€200k  
Vincenzo Fiorillo,€150k  
Pierluigi Frattali,€100k  
Pasquale Allocca,€100k  
Raimonds Krollis,€1.20m  
Mladen Devetak,€700k  
Alfred Gomis,€1.00m  
Giovanni Leoni,€4.50m  
Agustín Álvarez,€4.50m  
Matteo Luigi Brunori,€4.00m  
Filippo Ranocchia,€4.00m  
Jari Vandeputte,€3.50m  
Gennaro Tutino,€3.50m  
Kristoffer Lund,€3.50m  
Tomás Esteves,€3.00m  
Charles Pickel,€3.00m  
Fabio Depaoli,€3.00m  
Claudio Gomes,€2.90m  
Salvatore Esposito,€2.80m  
Dennis Johnsen,€2.70m  
Jacopo Segre,€2.70m  
Pietro Beruatto,€2.70m  
Salim Diakité,€2.50m  
Felix Afena-Gyan,€2.50m  
Andrea Papetti,€2.50m  
Michele Collocolo,€2.50m  
Jan Mlakar,€2.50m  
Edoardo Pieragnolo,€2.40m  
Gerard Yepes,€2.30m  
Estanis Pedrola,€2.00m  
Dimitrios Nikolaou,€2.00m  
Przemysław Wiśniewski,€2.00m  
Andrea Cistana,€2.00m  
Leonardo Sernicola,€2.00m  
Fabio Borini,€2.00m  
Idrissa Touré,€2.00m  
Luca Ravanelli,€2.00m  
Janis Antiste,€1.90m  
Luca D'Andrea,€1.80m  
Simone Canestrelli,€1.80m  
Luca Moro,€1.80m  
Massimiliano Mangraviti,€1.60m  
Pietro Ceccaroni,€1.60m  
Marius Marin,€1.60m  
Claudio Cassano,€1.50m  
Aljosa Vasic,€1.50m  
Matteo Tramoni,€1.50m  
Andreas Jungdal,€1.50m  
Francesco Vicari,€1.50m  
Luca Zanimacchia,€1.50m  
Daniele Casiraghi,€1.50m  
Manuel De Luca,€1.50m  
Antonio Palumbo,€1.40m  
Giovanni Zaro,€1.40m  
Leonardo Benedetti,€1.40m  
Mirko Antonucci,€1.40m  
Gennaro Borrelli,€1.40m  
Mehdi Dorval,€1.40m  
Federico Di Francesco,€1.40m  
Elhan Kastrati,€1.30m  
Roberto Insigne,€1.30m  
Riccardo Ciervo,€1.30m  
Sebastiano Desplanches,€1.30m  
Giuseppe Sibilli,€1.30m  
Mamadou Coulibaly,€1.30m  
Daniele Verde,€1.30m  
Arkadiusz Reca,€1.30m  
Valerio Verre,€1.20m  
Simone Giordano,€1.20m  
Matteo Rover,€1.20m  
Francesco Di Mariano,€1.20m  
Giuseppe Di Serio,€1.20m  
Giacomo Quagliata,€1.20m  
Lorenzo Dickmann,€1.20m  
Niccolò Corrado,€1.10m  
Luka Lochoshvili,€1.10m  
Nicolas Galazzi,€1.10m  
Pietro Iemmello,€1.00m  
Luca Magnino,€1.00m  
Ettore Gliozzi,€1.00m  
Ronaldo Vieira,€1.00m  
Simone Santoro,€1.00m  
Paolo Ghiglione,€1.00m  
Aldo Florenzi,€1.00m  
Fabio Gerli,€1.00m  
Franco Vázquez,€1.00m  
Leo Stulac,€1.00m  
Matteo Ricci,€1.00m  
Ales Mateju,€1.00m  
Ionuț Nedelcearu,€1.00m  
Nicholas Bonfanti,€900k  
Tommaso Milanese,€900k  
Tommaso Biasci,€900k  
Ádám Nagy,€900k  
Alessandro Arena,€900k  
Fabian Tait,€900k  
Arturo Calabresi,€900k  
Frank Tsadjout,€850k  
Salvatore Elia,€800k  
