Name,Team,Age,Position,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
Duván Zapata,"Torino, ",33,",  FW  ",34(1),2893	,12	,4	,2.8	,0.8	,1	,1.9	,0.6	,1.7	,3.4	,6.98
Victor Osimhen,"Napoli, ",25,",  FW  ",22(3),1990	,15	,3	,3.6	,0.9	,0.6	,1.2	,1.4	,1.1	,2.6	,6.98
Federico Chiesa,"Juventus, ",26,",  M(CLR),FW  ",25(8),2207	,9	,2	,2.3	,1.6	,1.1	,1.2	,0.2	,1.2	,1.6	,6.98
Henrikh Mkhitaryan,"Inter, ",35,",  M(CLR),FW  ",35(1),2804	,2	,8	,1.1	,1.1	,0.5	,0.8	,0.1	,0.5	,1.1	,6.96
Elia Caprile,"Empoli, ",22,",  GK  ",23,2070	,-	,-	,-	,0.1	,-	,0.3	,-	,-	,-	,6.95
Francesco Acerbi,"Inter, ",36,",  D(C)  ",26(3),2387	,3	,1	,0.5	,0.2	,0.1	,0.8	,0.1	,-	,0.1	,6.95
Lewis Ferguson,"Bologna, ",24,",  M(C)  ",31,2718	,6	,3	,1.9	,1	,0.5	,2.3	,0.1	,0.7	,0.7	,6.94
Gianluca Scamacca,"Atalanta, ",25,",  FW  ",17(12),1459	,12	,6	,2.1	,1.1	,0.5	,1	,0.3	,1.7	,2.5	,6.94
Olivier Giroud,"AC Milan, ",37,",  FW  ",28(7),2374	,15	,8	,2.2	,0.9	,0.1	,0.7	,0.4	,0.4	,1.7	,6.94
Lorenzo Pellegrini,"Roma, ",28,",  M(CL)  ",20(9),1867	,8	,3	,1.6	,1.2	,0.7	,1.2	,0.1	,0.7	,1.4	,6.93
Éderson,"Atalanta, ",25,",  M(C)  ",32(4),2875	,6	,1	,1.1	,0.5	,0.6	,0.9	,-	,1	,0.9	,6.92
Giorgio Scalvini,"Atalanta, ",20,",  D(C)  ",31(2),2556	,1	,3	,0.6	,0.3	,0.5	,0.3	,0.1	,0.4	,0.7	,6.91
Théo Hernández,"AC Milan, ",26,",  D(CL),M(L)  ",31(1),2795	,5	,4	,1.8	,1.4	,1.2	,1.6	,0.1	,0.7	,0.9	,6.91
Marten de Roon,"Atalanta, ",33,",  D(C),DMC  ",29(1),2599	,-	,5	,0.5	,0.8	,0.1	,0.8	,0.1	,0.3	,0.6	,6.90
Lucas Martínez Quarta,"Fiorentina, ",28,",  D(C)  ",26(3),2292	,5	,1	,0.8	,0.5	,0.4	,0.4	,-	,0.2	,0.7	,6.89
Benjamin Pavard,"Inter, ",28,",  D(CLR),M(R)  ",21(2),1679	,-	,2	,0.7	,0.4	,0.1	,0.7	,0.1	,-	,0.3	,6.89
Yann Sommer,"Inter, ",35,",  GK  ",34,3060	,-	,-	,-	,-	,-	,-	,-	,-	,-	,6.89
Ruben Loftus-Cheek,"AC Milan, ",28,",  M(CLR)  ",26(3),2081	,6	,1	,1.4	,0.9	,1	,1.6	,-	,0.8	,1.2	,6.88
Matteo Politano,"Napoli, ",30,",  AM(CLR),FW  ",31(6),2387	,8	,7	,2	,1.9	,0.8	,1	,0.1	,0.6	,1.2	,6.88
Bryan Cristante,"Roma, ",29,",  D(C),M(C)  ",37,3292	,3	,4	,1.5	,0.8	,0.5	,0.4	,0.1	,0.6	,0.7	,6.88
Lazar Samardzic,"Udinese, ",22,",  AM(C)  ",28(6),2381	,6	,2	,1.7	,1.8	,1.4	,0.5	,-	,0.6	,1.6	,6.88
Milan Djuric,"Verona, ",34,",  FW  ",13(7),1208	,5	,1	,1.3	,0.8	,0.1	,1	,0.3	,0.4	,1.1	,6.87
Luis Alberto,"Lazio, ",31,",  AM(CL),FW  ",29(4),2321	,5	,7	,1.7	,1.9	,0.8	,0.7	,0.2	,0.7	,1	,6.87
Alberto Dossena,"Cagliari, ",25,",  D(C)  ",33(2),2979	,2	,4	,0.7	,0.3	,0.1	,1.2	,-	,0.3	,0.6	,6.87
Cyril Ngonge,"Verona, ",24,",  AM(CR),FW  ",17(2),1438	,6	,2	,2.2	,1.1	,1.5	,1.2	,0.2	,1	,2.8	,6.86
Giacomo Bonaventura,"Fiorentina, ",34,",  M(CLR)  ",27(4),2288	,8	,3	,1.7	,1.3	,1	,1.1	,-	,0.9	,1.5	,6.86
Felipe Anderson,"Lazio, ",31,",  M(CLR),FW  ",33(5),2784	,5	,6	,1.1	,1.1	,1.1	,0.9	,0.1	,0.8	,1.7	,6.86
Tijjani Reijnders,"AC Milan, ",25,",  M(C)  ",33(3),2830	,3	,3	,1.2	,1.4	,1	,0.6	,-	,1.1	,1.1	,6.85
Manuel Locatelli,"Juventus, ",26,",  M(C)  ",34(2),3011	,1	,4	,0.7	,0.7	,0.4	,0.7	,0.1	,0.5	,0.5	,6.85
Romelu Lukaku,"Roma, ",31,",  AM(R),FW  ",30(2),2648	,13	,3	,2	,0.9	,0.3	,0.5	,0.8	,1	,1.6	,6.83
Michael Kayode,"Fiorentina, ",20,",  D(R)  ",22(4),2064	,1	,1	,0.3	,0.6	,0.8	,0.7	,0.1	,0.3	,1.2	,6.83
Mathías Olivera,"Napoli, ",26,",  D(CL),M(L)  ",18(5),1574	,1	,1	,0.5	,0.8	,0.5	,0.7	,-	,0.7	,0.6	,6.82
Stefan de Vrij,"Inter, ",32,",  D(C)  ",17(8),1578	,1	,-	,0.4	,0.1	,0.1	,0.1	,-	,-	,0.3	,6.82
Jaka Bijol,"Udinese, ",25,",  D(C),M(C),FW  ",23(1),2083	,-	,-	,0.6	,0.1	,-	,0.3	,-	,0.2	,0.1	,6.81
Morten Frendrup,"Genoa, ",23,",  D(R),DMC  ",36(1),3149	,2	,5	,0.8	,0.4	,0.4	,0.9	,-	,0.4	,1.5	,6.81
Riccardo Orsolini,"Bologna, ",27,",  M(CR),FW  ",19(14),1795	,10	,2	,1.8	,1.1	,0.9	,1.2	,0.4	,0.7	,1.5	,6.80
Berat Djimsiti,"Atalanta, ",31,",  D(C)  ",32(5),2832	,-	,1	,0.4	,0.2	,-	,0.3	,-	,0.1	,0.2	,6.80
Alexis Saelemaekers,"Bologna, ",25,",  M(LR)  ",21(9),1893	,4	,2	,1	,1.5	,1.3	,1.9	,0.1	,0.8	,1.6	,6.80
Nicolò Barella,"Inter, ",27,",  AM(C)  ",34(3),2860	,2	,3	,1.1	,1.1	,0.8	,0.7	,0.1	,0.8	,1.1	,6.79
Raoul Bellanova,"Torino, ",24,",  M(R)  ",36(1),3065	,1	,7	,0.9	,1.4	,1.2	,1.4	,0.1	,0.6	,1.2	,6.78
Dusan Vlahovic,"Juventus, ",24,",  FW  ",27(6),2318	,16	,4	,3.3	,0.9	,0.5	,1	,0.4	,1.3	,2.2	,6.78
Weston McKennie,"Juventus, ",25,",  D(C),M(CLR)  ",29(5),2603	,-	,7	,0.7	,1.2	,0.5	,0.4	,0.2	,0.6	,1.1	,6.78
Amir Rrahmani,"Napoli, ",30,",  D(CL)  ",30,2603	,3	,-	,0.8	,0.5	,0.3	,0.2	,0.1	,0.2	,0.2	,6.78
Marco Carnesecchi,"Atalanta, ",24,",  GK  ",27,2426	,-	,-	,-	,-	,-	,0.1	,-	,-	,-	,6.77
Aleksey Miranchuk,"Atalanta, ",28,",  M(CR),FW  ",12(15),1172	,3	,5	,1.4	,1.7	,0.6	,1.1	,0.1	,0.6	,1.4	,6.77
Pietro Terracciano,"Fiorentina, ",34,",  GK  ",33,2970	,-	,-	,-	,0.1	,-	,0.1	,-	,-	,-	,6.77
Mike Maignan,"AC Milan, ",29,",  GK  ",29,2610	,-	,1	,-	,0.1	,-	,0.2	,-	,-	,-	,6.77
Remo Freuler,"Bologna, ",32,",  DMC  ",30(2),2632	,1	,1	,0.4	,0.6	,0.3	,0.5	,-	,0.5	,0.8	,6.77
Ivan Ilic,"Torino, ",23,",  M(C)  ",25(6),2103	,3	,2	,0.9	,1.5	,0.6	,0.8	,-	,0.5	,1	,6.76
Lameck Banda,"Lecce, ",23,",  AM(L)  ",17(4),1360	,2	,4	,2.4	,1.1	,2	,1.4	,0.4	,1.4	,2.7	,6.76
Maduka Okoye,"Udinese, ",24,",  GK  ",21,1890	,-	,-	,-	,-	,-	,0.2	,-	,-	,-	,6.76
Mario Pasalic,"Atalanta, ",29,",  M(CLR),FW  ",23(11),2051	,6	,6	,1.2	,0.9	,0.4	,0.2	,0.2	,0.4	,1	,6.75
Mario Gila,"Lazio, ",23,",  D(C)  ",21,1814	,-	,-	,0.4	,0.3	,0.4	,1.1	,-	,0.3	,0.5	,6.75
Stefan Posch,"Bologna, ",27,",  D(CR)  ",29(2),2420	,1	,2	,0.6	,0.7	,0.4	,0.4	,-	,0.4	,0.9	,6.75
Fikayo Tomori,"AC Milan, ",26,",  D(CR)  ",24(2),2125	,4	,-	,0.7	,0.2	,0.1	,0.3	,-	,-	,0.2	,6.75
Johan Vásquez,"Genoa, ",25,",  D(CL)  ",32(5),2853	,1	,1	,0.9	,0.3	,0.3	,1	,0.1	,0.3	,0.7	,6.75
Jhon Lucumí,"Bologna, ",26,",  D(C)  ",23(6),2214	,-	,-	,0.4	,0.1	,0.3	,0.6	,-	,0.2	,0.5	,6.75
Radu Dragusin,"Genoa, ",22,",  D(C)  ",19,1710	,2	,1	,0.9	,0.4	,-	,0.7	,-	,0.2	,0.3	,6.75
