Player_URL,Name,Team_URL,Team,Age,Position,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS,AerialsWon,MotM,Rating
https://www.whoscored.com/Players/83532/Show/Harry-Kane,Harry Kane,https://www.whoscored.com/Teams/37/Show/Germany-Bayern,"Bayern, ",30,",  AM(C),FW  ",32,2844	,36	,8	,2	,-	,4.6	,73.6	,0.9	,8	,7.82
https://www.whoscored.com/Players/236506/Show/Serhou-Guirassy,Serhou Guirassy,https://www.whoscored.com/Teams/41/Show/Germany-Stuttgart,"Stuttgart, ",28,",  AM(L),FW  ",25(3),2214	,28	,2	,-	,-	,3.3	,81.4	,2.3	,8	,7.73
https://www.whoscored.com/Players/144711/Show/Leroy-San%C3%A9,Leroy Sané,https://www.whoscored.com/Teams/37/Show/Germany-Bayern,"Bayern, ",28,",  M(CLR),FW  ",25(2),2142	,8	,11	,4	,-	,2.7	,84.4	,0.1	,2	,7.68
https://www.whoscored.com/Players/395252/Show/Jamal-Musiala,Jamal Musiala,https://www.whoscored.com/Teams/37/Show/Germany-Bayern,"Bayern, ",21,",  M(CLR)  ",20(4),1767	,10	,6	,2	,-	,2.4	,81.9	,0.3	,4	,7.65
https://www.whoscored.com/Players/107252/Show/%C3%81lex-Grimaldo,Álex Grimaldo,https://www.whoscored.com/Teams/36/Show/Germany-Leverkusen,"Leverkusen, ",28,",  D(L),M(L)  ",31(2),2787	,10	,13	,1	,-	,2.2	,87.2	,0.4	,7	,7.58
https://www.whoscored.com/Players/399772/Show/Xavi-Simons,Xavi Simons,https://www.whoscored.com/Teams/7614/Show/Germany-RBL,"RBL, ",21,",  AM(CLR),FW  ",32,2675	,8	,11	,9	,1	,2.5	,82	,0.6	,6	,7.58
https://www.whoscored.com/Players/394786/Show/Florian-Wirtz,Florian Wirtz,https://www.whoscored.com/Teams/36/Show/Germany-Leverkusen,"Leverkusen, ",21,",  AM(CL),FW  ",26(6),2384	,11	,11	,3	,-	,2.2	,84.6	,0.3	,5	,7.50
https://www.whoscored.com/Players/384000/Show/Victor-Boniface,Victor Boniface,https://www.whoscored.com/Teams/36/Show/Germany-Leverkusen,"Leverkusen, ",23,",  FW  ",18(5),1554	,14	,8	,2	,-	,3.5	,73	,1.2	,3	,7.49
https://www.whoscored.com/Players/357091/Show/Deniz-Undav,Deniz Undav,https://www.whoscored.com/Teams/41/Show/Germany-Stuttgart,"Stuttgart, ",27,",  AM(C),FW  ",23(7),2100	,18	,9	,5	,-	,3.6	,75.4	,0.6	,5	,7.45
https://www.whoscored.com/Players/299684/Show/Exequiel-Palacios,Exequiel Palacios,https://www.whoscored.com/Teams/36/Show/Germany-Leverkusen,"Leverkusen, ",25,",  M(C)  ",21(3),1841	,4	,5	,6	,-	,0.9	,92.1	,0.4	,-	,7.32
https://www.whoscored.com/Players/353193/Show/Jan-Niklas-Beste,Jan-Niklas Beste,https://www.whoscored.com/Teams/4852/Show/Germany-FC-Heidenheim,"FC Heidenheim, ",25,",  D(L),M(CLR)  ",31,2625	,8	,11	,4	,-	,1.6	,67.2	,0.3	,7	,7.32
https://www.whoscored.com/Players/363618/Show/Lo%C3%AFs-Openda,Loïs Openda,https://www.whoscored.com/Teams/7614/Show/Germany-RBL,"RBL, ",24,",  FW  ",33(1),2716	,24	,7	,4	,-	,3.6	,69.2	,0.7	,6	,7.32
https://www.whoscored.com/Players/261020/Show/Maximilian-Mittelst%C3%A4dt,Maximilian Mittelstädt,https://www.whoscored.com/Teams/41/Show/Germany-Stuttgart,"Stuttgart, ",27,",  D(L),M(CL)  ",23(8),2106	,2	,4	,5	,-	,0.7	,87.7	,1	,3	,7.28
https://www.whoscored.com/Players/330538/Show/David-Raum,David Raum,https://www.whoscored.com/Teams/7614/Show/Germany-RBL,"RBL, ",26,",  D(L),M(LR)  ",31,2745	,2	,8	,6	,-	,0.5	,80.6	,0.9	,2	,7.20
https://www.whoscored.com/Players/104011/Show/Kevin-St%C3%B6ger,Kevin Stöger,https://www.whoscored.com/Teams/109/Show/Germany-Bochum,"Bochum, ",30,",  M(CL)  ",32,2679	,7	,9	,8	,-	,2.3	,71.8	,0.3	,4	,7.19
https://www.whoscored.com/Players/261212/Show/Dani-Olmo,Dani Olmo,https://www.whoscored.com/Teams/7614/Show/Germany-RBL,"RBL, ",26,",  AM(CLR),FW  ",17(4),1455	,4	,5	,-	,-	,2.1	,79.6	,0.6	,1	,7.17
