Raoul Bellanova
Rodrigo Muniz
Hugo Guillamón
Erling Haaland
James Trafford,0.071
Yeray Álvarez
Christopher Trimmel
Luís Maximiano,0.182
David Soria,0.289
Benedikt Gimber
Mattéo Guendouzi
Fran Beltrán
Suat Serdar
Janik Haberer
Joel Ward
Brenden Aaronson
Akor Adams
Yoann Salmier
Adam Smith
Klaus Gjasula
Azzedine Ounahi
Moritz Jenz
Jonathan Gradit
Lazar Samardzic
Finn Becker
Pascal Groß
Kevin Gameiro
Max Aarons
Ondrej Duda
Caleb Ekuban
Jordan Ferri
Gabriel Jesus
Julian Brandt
Murillo
Ademola Lookman
Victor Chust
Sepp van den Berg
Renato Tapia
Philipp Köhn,0.227
András Schäfer
Moussa Diaby
Vítinha
Salis Abdul Samed
Pape Sarr
Jonny Evans
Ryan Yates
Enzo Loiodice
Rasmus Carstensen
Antoine Joujou
Elliot Anderson
Ruslan Malinovskyi
Jacob Brown
Emanuel Emegha
Lucas Tousart
Gianluca Scamacca
Yassine Kechta
Carlos Baleba
Martín Satriano
Rubén Duarte
Maximilian Arnold
James Ward-Prowse
Álex Grimaldo
Bertug Yildirim
Ørjan Nyland,0.25
Marcus Tavernier
Ciro Immobile
Álex Fernández
Cristian Romero
Bruno Fernandes
Nicolas Viola
Ángel Correa
Florian Neuhaus
Donyell Malen
Jakub Kiwior
Juan Cabal
Waldemar Anton
Rasmus Nicolaisen
Mërgim Vojvoda
Nico Elvedi
Martin Terrier
Stefan de Vrij
Harrison Reed
Jan Thielmann
Marco Bizot,0.406
Hiroki Ito
Falaye Sacko
Cristhian Mosquera
Roman Yaremchuk
Íñigo Ruíz de Galarreta
Gédéon Kalulu
Désiré Doué
Yehor Yarmoliuk
Alexander Nübel,0.367
Andrea Consigli,0.086
Matthias Bader
Shamar Nicholson
Kévin Van Den Kerkhof
Maxime Lopez
Khéphren Thuram
Théo Le Bris
Merlin Röhl
Alexis Sánchez
Aurélien Tchouaméni
Danny Ings
Matheus Henrique
Ashley Young
Rubén Vargas
Remi Oudin
Pepelu
Amir Rrahmani
Michele Di Gregorio,0.424
Lorenzo Montipò,0.216
Junior Dina Ebimbe
Lilian Brassier
Alessandro Deiola
Bafodé Diakité
Lyle Foster
Will Hughes
Nathan Aké
Maxime Gonalons
Konstantinos Mavropanos
Mikel Oyarzabal
Sebastiano Luperto
Rubén Sobrino
Max Finkgräfe
Juanlu Sánchez
Luca Pfeiffer
Rodrygo
Loïs Openda
Darko Lazovic
Denis Zakaria
Dara O'Shea
Myrto Uzuni
Luis Alberto
Casemiro
Tino Livramento
Raphinha
Leandro Barreiro
Neal Maupay
Takumi Minamino
Gaetano Oristanio
Philipp Max
Radamel Falcao
Grejohn Kyei
Kamory Doumbia
Nathan Ngoumou
Marc Guéhi
Jonathan Clauss
David García
Carlos Domínguez
Warren Bondo
Felipe Anderson
Hugo Bueno
Valery Fernández
Adrian Beck
Chris Wood
Warmed Omari
Lucas Boyé
Alphonso Davies
Raphaël Varane
Jon Pacheco
Rui Silva,0.321
Álvaro Vallés,0.243
Tijjani Reijnders
Mads Pedersen
Saman Ghoddos
Mario Pasalic
Mario Götze
Christopher Antwi-Adjei
Saúl Coco
Óscar Valentín
Cristiano Biraghi
Jóhann Gudmundsson
Tuta
Emerson Royal
Marc Pubill
Alexis Saelemaekers
Pathé Ciss
Josh Brownhill
Vincent Sierro
Dango Ouattara
Malick Thiaw
Yehvann Diouf,0.235
Stanislav Lobotka
Antonio Raíllo
Diogo Leite
Andy Diouf
João Pedro
Nikola Vlasic
Wilson Odobert
Mike Maignan,0.379
Mousa Al Ta'mari
Idrissa Gueye
Gabriel Martinelli
Óscar Mingueza
Ayoze Pérez
Aleksey Miranchuk
Matthias Ginter
Antoine Semenyo
Antonio Sanabria
Mateo Kovacic
Arthur Desmas,0.212
Konrad Laimer
Antonín Barák
Benjamin André
Mehdi Zeffane
Lee Kang-In
Rubén Peña
Pierre-Emile Højbjerg
Maxi Gómez
Frederik Rønnow,0.212
Milos Kerkez
Jérémy Le Douaron
Romain Del Castillo
Julián Álvarez
Andy Pelmard
Moïse Sahi
Koke
Stijn Spierings
Duje Caleta-Car
Folarin Balogun
Morten Thorsby
Moussa Diarra
Nicolás Tagliafico
Rubén Alcaraz
Isaak Touré
Christoph Zimmermann
Sebastiaan Bornauw
Jordan Zemura
Andrej Kramaric
Jamal Musiala
Mattia Zaccagni
Weston McKennie
Jeanuël Belocian
Kevin Behrens
Grigoris Kastanos
Cristian Gamboa
Edson Álvarez
Victor Boniface
Antony
Fabiano Parisi
Lucas Pires
Douglas Augusto
Ferland Mendy
Andrea Colpani
Rani Khedira
Rodrigo De Paul
Matthis Abline
Moussa Sissoko
Rasmus Kristensen
Axel Witsel
Nicolás Domínguez
Nahuel Molina
Manu Sánchez
Mostafa Mohamed
Ibrahim Sulemana
Nicola Sansone
Radu Dragusin
Gabriel Osho
Anthony Jung
Unai Simón,0.5
Pep Chavarría
Hakan Çalhanoglu
Lukás Hrádecky
Farès Chaïbi
Giovanni Simeone
Dominik Kohr
Duván Zapata
Marcos Llorente
Aiyegun Tosin
Manuel Akanji
Baptiste Santamaría
Yusuf Yazici
Vitinho
Bobby De Cordova-Reid
Oumar Diakité
Maximilian Beier
Facundo Buonanotte
Pedro Porro
Gonzalo Escalante
Paulo Azzi
Robert Andrich
Saël Kumbedi
Leo Østigård
Jeremy Toljan
Angelo Fulgini
Pawel Dawidowicz
Marcus Coco
Wahbi Khazri
Enzo Tchato
Elseid Hysaj
Robin Gosens
Aridane Hernández
Ilias Akhomach
Samuel Iling-Junior
Montassar Talbi
Diego Coppola
Tomás Soucek
Abdón Prats
João Palhinha
Nicolò Cambiaghi
Ilkay Gündogan
Gian Marco Ferrari
Andrea Pinamonti
Yann Sommer,0.559
Adrien Thomasson
Vedat Muriqi
Kieran Trippier
Tyrick Mitchell
Fikayo Tomori
Cristian Volpato
Giorgio Scalvini
Fabian Holland
Leonardo Pavoletti
Alfie Doughty
Luca Caldirola
Marc Cucurella
Pablo Barrios
Stefano Turati,0.161
Ezri Konsa
Randal Kolo Muani
Germán Pezzella
Viktor Tsyhankov
João Ferreira
José Arnaiz
Dani Ceballos
Lucas Chevalier,0.455
Anthony Gordon
Kurt Zouma
Cameron Archer
Nicolas Seiwald
Jesús Navas
Michail Antonio
Chiedozie Ogbene
Morgan Guilavogui
Stole Dimitrievski,0.351
Samuel Lino
Portu
Leon Goretzka
Dawid Kownacki
Mitchell Weiser
Anel Ahmedhodzic
Chris Ramos
Alessandro Buongiorno
Mathias Honsak
Nicolás González
Maximilian Kilman
Gabriel Magalhães
Craig Dawson
Florian Kainz
Hwang Hee-Chan
Miguel Almirón
Luca Ranieri
Guela Doué
Moritz Nicolas,0.148
José Ángel Carmona
Jan-Niklas Beste
Keane Lewis-Potter
Anton Stach
Charles De Ketelaere
Carlos Soler
Jan Schöppner
Willian José
Trent Alexander-Arnold
Manuel Gulde
Roger Martí
Eldor Shomurodov
Ismaël Bennacer
Caleb Okoli
Youssef En-Nesyri
Ardian Ismajli
Fali
Jens Stage
Rayan Cherki
Gustavo Hamer
Roberto Piccoli
Kike García
Ibrahim Salah
Marvin Senaya
Javi Muñoz
Willian
Bebé
Robin Zentner,0.233
Warren Zaïre-Emery
Isco
Dejan Kulusevski
Téji Savanier
Mario Lemina
Davide Frattesi
Jan Oblak,0.342
Tiago Santos
Tiémoué Bakayoko
Niklas Schmidt
Sargis Adamyan
Juan Miranda
Jonas Föhrenbach
Vitaly Janelt
Vicente Guaita,0.222
Eric García
Jan Paul van Hecke
Illia Zabarnyi
Adrien Rabiot
Luca de la Torre
Bradley Locko
Lucas Digne
Tim Skarke
Mama Baldé
Mikkel Damsgaard
Danley Jean Jacques
Gerard Gumbau
Andy Robertson
Wes Foderingham,0.033
Milan Skriniar
Matteo Prati
Marco Asensio
Marcus Thuram
Gerard Moreno
Mason Greenwood
Lewis Cook
Kai Havertz
Santi Comesaña
Jack Harrison
Dimitri Foulquier
Giorgos Kyriakopoulos
Matt Doherty
Elye Wahi
Angel Gomes
Billal Brahimi
Boubacar Kamara
Deiver Machado
Pablo Marí
Umut Tohumcu
Saúl Ñíguez
Marquinhos
Mohamed Camara
Václav Cerny
Pablo Sarabia
