Name,Team,Age,Position,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
Gonçalo Ramos,"PSG, ",23,",  AM(C),FW  ",16(13),1422	,11	,1	,1.9	,0.6	,0.3	,0.8	,0.1	,0.6	,1.3	,6.91
Laurent Abergel,"Lorient, ",31,",  DMC  ",32(1),2862	,2	,1	,0.8	,0.9	,1.3	,1.1	,-	,0.9	,1	,6.91
Emmanuel Agbadou,"Reims, ",27,",  D(CR),DMC  ",29(3),2597	,1	,1	,1	,0.4	,0.5	,0.3	,0.1	,0.7	,0.8	,6.91
Thijs Dallinga,"Toulouse, ",23,",  FW  ",28(5),2518	,14	,2	,2.5	,0.5	,0.6	,1.4	,0.6	,0.9	,1.4	,6.90
Khéphren Thuram,"Nice, ",23,",  DMC,M(L)  ",25(2),2114	,1	,1	,1.4	,1.1	,1.3	,0.8	,0.1	,0.9	,1.4	,6.90
Ruben Aguilar,"Lens, ",31,",  D(R),M(R)  ",22(3),1923	,1	,3	,0.5	,1	,0.2	,1	,0.1	,0.4	,1.2	,6.90
Dilane Bakwa,"Strasbourg, ",21,",  AM(CLR)  ",25(6),2188	,3	,6	,1.4	,1.6	,1.7	,2.4	,0.1	,1.2	,1.6	,6.90
Ismaily,"Lille, ",34,",  D(L)  ",28(2),2467	,1	,1	,0.2	,0.3	,0.9	,0.8	,0.1	,0.6	,1.1	,6.89
Frédéric Guilbert,"Strasbourg, ",29,",  D(CLR),M(R)  ",29(3),2495	,2	,-	,0.7	,0.7	,0.6	,0.5	,0.1	,0.4	,0.8	,6.89
Melvin Bard,"Nice, ",23,",  D(L),M(L)  ",31(1),2663	,1	,2	,0.5	,0.6	,1.2	,0.8	,-	,0.4	,1.3	,6.88
Romain Faivre,"Lorient, ",25,",  AM(CLR)  ",16(1),1453	,5	,1	,1.6	,0.9	,2.6	,2.8	,0.1	,1	,2.2	,6.88
Angel Gomes,"Lille, ",23,",  M(CL),FW  ",29(2),2583	,-	,8	,1.1	,1.5	,0.7	,1.2	,-	,0.5	,0.8	,6.88
Bafodé Diakité,"Lille, ",23,",  D(CR)  ",19(2),1697	,5	,2	,0.8	,0.6	,0.2	,0.6	,0.1	,0.2	,0.4	,6.88
Jean-Clair Todibo,"Nice, ",24,",  D(C)  ",30,2654	,-	,2	,0.3	,0.3	,0.5	,0.6	,-	,0.3	,0.6	,6.87
Benjamin Bourigeaud,"Rennes, ",30,",  M(CLR)  ",29(3),2437	,9	,6	,1.6	,2.2	,0.3	,0.4	,0.1	,0.4	,1	,6.87
Ismail Jakobs,"Monaco, ",24,",  D(L),M(L)  ",16(6),1467	,1	,2	,1	,0.8	,0.5	,0.8	,0.1	,0.3	,1.3	,6.87
Denis Zakaria,"Monaco, ",27,",  D(C),DMC  ",24(1),2142	,4	,-	,1	,0.4	,1.2	,0.5	,-	,0.5	,1.2	,6.87
Mory Diaw,"Clermont Foot, ",31,",  GK  ",30,2700	,-	,-	,-	,0.1	,0.1	,0.1	,-	,-	,0.1	,6.87
Maghnes Akliouche,"Monaco, ",22,",  AM(CR)  ",18(10),1620	,7	,4	,1.3	,1.4	,1	,1.1	,-	,1.4	,1.5	,6.87
Dante,"Nice, ",40,",  D(C)  ",32,2844	,1	,1	,0.5	,0.4	,0.1	,0.5	,-	,0.2	,0.4	,6.87
Lilian Brassier,"Brest, ",24,",  D(CL)  ",30,2679	,3	,-	,0.4	,0.2	,0.4	,0.8	,-	,0.1	,0.5	,6.86
Arnaud Nordin,"Montpellier, ",26,",  AM(CLR),FW  ",15(5),1254	,5	,3	,1.5	,1.1	,1.7	,2.1	,0.1	,1	,2.1	,6.86
Mahdi Camara,"Brest, ",26,",  D(CR),M(C)  ",26(6),2039	,7	,3	,1.3	,1	,0.5	,1.2	,0.1	,0.7	,1.2	,6.86
Samuel Gigot,"Marseille, ",30,",  D(C)  ",20(1),1729	,3	,-	,0.9	,0.3	,0.1	,0.7	,-	,0.1	,0.4	,6.85
Joris Chotard,"Montpellier, ",22,",  DMC  ",30(1),2594	,-	,3	,0.7	,0.5	,0.1	,0.6	,-	,0.4	,0.7	,6.84
Marquinhos,"PSG, ",30,",  D(CR),DMC  ",18(3),1540	,-	,1	,0.2	,0.4	,-	,0.1	,0.1	,0.1	,0.4	,6.84
Vincent Sierro,"Toulouse, ",28,",  M(C)  ",25(5),2265	,6	,2	,1.2	,1.1	,0.6	,1.6	,0.1	,0.8	,1.1	,6.83
Alexandre Oukidja,"Metz, ",35,",  GK  ",34,2988	,-	,-	,-	,-	,0.1	,0.2	,-	,-	,-	,6.83
Rayan Cherki,"Lyon, ",20,",  AM(CLR),FW  ",19(14),1723	,1	,6	,1.7	,1.3	,2.5	,0.9	,0.1	,1.3	,1.5	,6.83
Martin Terrier,"Rennes, ",27,",  AM(CL),FW  ",19(5),1533	,7	,3	,1.6	,0.7	,0.7	,1.2	,0.4	,0.8	,1.4	,6.83
Warren Zaïre-Emery,"PSG, ",18,",  DMC,M(R)  ",21(5),1963	,2	,3	,0.5	,0.8	,0.6	,1.2	,-	,1.3	,1.2	,6.83
Lucas Hernández,"PSG, ",28,",  D(CL)  ",23(4),1917	,1	,1	,0.2	,0.4	,0.3	,1.1	,-	,0.2	,0.6	,6.82
Désiré Doué,"Rennes, ",19,",  AM(CLR)  ",17(14),1626	,4	,4	,1.1	,1	,2.1	,1.8	,0.1	,1.4	,1.9	,6.82
Danilo Pereira,"PSG, ",32,",  D(C),DMC  ",22(4),1993	,-	,-	,0.4	,-	,0.1	,0.4	,-	,-	,0.2	,6.82
Rasmus Nicolaisen,"Toulouse, ",27,",  D(C)  ",33,2927	,2	,-	,0.6	,0.2	,0.1	,0.7	,-	,0.1	,0.3	,6.81
Moses Simon,"Nantes, ",28,",  M(CLR),FW  ",21(1),1794	,3	,5	,1.5	,1.3	,2.1	,1.3	,0.2	,1.7	,2.7	,6.80
Brice Samba,"Lens, ",30,",  GK  ",33,2970	,-	,-	,-	,0.1	,-	,0.1	,-	,-	,0.1	,6.80
Lucas Chevalier,"Lille, ",22,",  GK  ",33,2970	,-	,-	,-	,0.1	,-	,0.2	,-	,0.1	,-	,6.80
Benjamin Lecomte,"Montpellier, ",33,",  GK  ",30,2700	,-	,1	,-	,0.1	,-	,0.1	,-	,-	,-	,6.80
Gautier Lloris,"Le Havre, ",28,",  D(C)  ",31,2780	,2	,-	,0.5	,0.1	,0.1	,0.2	,-	,0.1	,0.3	,6.80
Vítinha,"Marseille, ",24,",  FW  ",10(8),922	,3	,2	,2.1	,1	,0.9	,1.3	,0.3	,0.9	,1.9	,6.79
Facundo Medina,"Lens, ",25,",  D(CL)  ",30(1),2714	,1	,3	,0.6	,0.8	,0.6	,0.6	,0.1	,0.5	,1	,6.79
Amine Gouiri,"Rennes, ",24,",  AM(CLR),FW  ",24(7),2076	,7	,3	,2.5	,0.7	,1.5	,0.7	,-	,1.3	,1.3	,6.79
Neto Borges,"Clermont Foot, ",27,",  D(CL),M(L)  ",28,2517	,-	,1	,0.6	,0.9	,1	,0.9	,0.3	,0.4	,1.1	,6.78
Przemyslaw Frankowski,"Lens, ",29,",  D(R),M(CLR)  ",24(6),2196	,3	,2	,1	,1.3	,0.4	,0.4	,-	,0.5	,1.2	,6.78
Fabián Ruiz,"PSG, ",28,",  M(CL)  ",14(7),1195	,1	,3	,0.9	,0.9	,0.8	,0.5	,-	,0.1	,0.6	,6.78
Kevin Danso,"Lens, ",25,",  D(C)  ",30,2656	,1	,-	,0.7	,0.3	,0.4	,1.6	,0.1	,0.3	,0.8	,6.78
Christian Mawissa,"Toulouse, ",19,",  D(C)  ",12(5),1116	,2	,-	,0.3	,0.2	,1.4	,0.5	,-	,0.3	,0.8	,6.77
Steve Mounié,"Brest, ",29,",  FW  ",20(12),1773	,6	,2	,1.9	,0.7	,0.3	,0.8	,0.3	,0.5	,1.8	,6.77
Randal Kolo Muani,"PSG, ",25,",  AM(CLR),FW  ",13(13),1265	,6	,5	,0.8	,1	,1.1	,1	,0.2	,0.8	,2	,6.77
Nabil Bentaleb,"Lille, ",29,",  M(C)  ",23(3),1968	,-	,3	,0.4	,0.5	,0.5	,0.7	,-	,0.7	,1	,6.77
Marvin Senaya,"Strasbourg, ",23,",  D(R),M(R)  ",23(9),2141	,1	,1	,0.5	,0.7	,0.8	,1.6	,-	,0.4	,1.2	,6.77
Arthur Desmas,"Le Havre, ",30,",  GK  ",33,2970	,-	,-	,-	,-	,-	,0.3	,-	,-	,-	,6.77
Gabriel Suazo,"Toulouse, ",26,",  D(L),M(L)  ",27(4),2363	,-	,4	,0.3	,1.4	,1.1	,0.9	,0.1	,0.5	,1.1	,6.77
Yunis Abdelhamid,"Reims, ",36,",  D(C)  ",31,2782	,4	,-	,0.7	,0.2	,0.3	,0.4	,-	,0.1	,0.7	,6.77
Mostafa Mohamed,"Nantes, ",26,",  FW  ",24(5),2018	,8	,2	,2.2	,0.8	,0.5	,1.2	,0.4	,1.3	,2.8	,6.76
Arthur Theate,"Rennes, ",24,",  D(CL)  ",27(1),2300	,2	,-	,0.8	,0.2	,0.3	,0.6	,-	,0.1	,0.6	,6.76
David Pereira da Costa,"Lens, ",23,",  AM(CL)  ",17(8),1498	,4	,2	,1.2	,1	,0.8	,0.9	,-	,0.9	,1.1	,6.76
Kiki Kouyaté,"Montpellier, ",27,",  D(C)  ",22(1),1930	,-	,2	,0.6	,0.2	,0.1	,0.9	,-	,0.1	,0.7	,6.76
Clinton Mata,"Lyon, ",31,",  D(CR),M(R)  ",25(3),2222	,-	,3	,0.5	,0.5	,0.8	,1.3	,-	,0.7	,1	,6.75
Martín Satriano,"Brest, ",23,",  FW  ",21(12),1871	,4	,4	,1.9	,0.6	,0.6	,0.8	,0.1	,0.5	,2	,6.75
Arouna Sangante,"Le Havre, ",22,",  D(CR)  ",30,2690	,-	,-	,0.5	,0.6	,0.4	,1.2	,-	,0.5	,0.6	,6.75
Muhammed Cham,"Clermont Foot, ",23,",  AM(C),FW  ",29(4),2563	,8	,4	,2.2	,1.5	,1	,1.7	,0.1	,1.3	,1.7	,6.75
Chancel Mbemba,"Marseille, ",29,",  D(CLR),DMC  ",25,2209	,2	,2	,0.8	,0.3	,0.3	,0.4	,0.1	,0.2	,0.7	,6.75
Marco Bizot,"Brest, ",33,",  GK  ",32,2878	,-	,-	,-	,0.1	,-	,-	,-	,-	,-	,6.74
Leny Yoro,"Lille, ",18,",  D(C)  ",30(2),2672	,2	,-	,0.4	,0.1	,0.3	,0.5	,-	,-	,0.5	,6.74
Issiaga Sylla,"Montpellier, ",30,",  D(LR),M(L)  ",17(2),1457	,1	,2	,0.7	,0.8	,0.5	,0.5	,0.2	,0.7	,1.6	,6.74
Neil El Aynaoui,"Lens, ",23,",  M(C)  ",17(8),1567	,1	,2	,0.9	,0.6	,0.6	,1.6	,-	,0.6	,1.1	,6.74
Amine Harit,"Marseille, ",27,",  AM(CLR),FW  ",21(7),1829	,1	,2	,1.2	,1.4	,1.4	,1.8	,-	,1.3	,1.5	,6.73
Ismaïla Sarr,"Marseille, ",26,",  AM(CLR),FW  ",15(8),1449	,3	,4	,1.1	,0.9	,0.6	,1.8	,0.3	,1.1	,1.4	,6.73
Marcin Bulka,"Nice, ",24,",  GK  ",34,3060	,-	,-	,-	,-	,0.1	,0.1	,-	,-	,-	,6.73
Mohamed Daramy,"Reims, ",22,",  AM(L),FW  ",19(6),1657	,4	,5	,1.2	,0.9	,2.1	,1.1	,0.4	,0.8	,1.8	,6.73
Lamine Camara,"Metz, ",20,",  M(C)  ",26(5),2266	,1	,4	,1	,1.3	,0.7	,1.5	,-	,0.9	,1.8	,6.73
Mousa Al Ta'mari,"Montpellier, ",27,",  M(LR),FW  ",24(3),1943	,5	,2	,1.7	,0.7	,1.6	,1.9	,0.3	,1.2	,3	,6.73
Guillermo Maripán,"Monaco, ",30,",  D(C)  ",21(2),1769	,1	,-	,0.5	,0.2	,-	,0.3	,-	,-	,0.4	,6.72
Enzo Le Fée,"Rennes, ",24,",  M(CLR)  ",19(6),1537	,-	,1	,0.5	,1.1	,1.2	,0.7	,-	,1	,1.3	,6.72
Ernest Nuamah,"Lyon, ",20,",  AM(R)  ",21(8),1849	,3	,2	,1.5	,1	,1.8	,1.2	,0.4	,1.1	,2.3	,6.71
Morgan Sanson,"Nice, ",29,",  M(CLR)  ",24(5),1978	,2	,3	,1.4	,1.5	,0.9	,1.2	,0.1	,1.4	,2.1	,6.71
Jonathan Gradit,"Lens, ",31,",  D(CR)  ",26,2122	,1	,-	,0.2	,0.2	,0.2	,1	,-	,0.3	,0.4	,6.71
Nabil Alioui,"Le Havre, ",25,",  AM(C)  ",12(6),1018	,4	,1	,1.6	,1.3	,0.8	,1.1	,0.3	,0.9	,1.3	,6.70
Rémy Cabella,"Lille, ",34,",  M(CLR),FW  ",14(16),1468	,2	,2	,1.1	,1.1	,0.7	,1.3	,0.1	,0.5	,0.9	,6.70
Yvon Mvogo,"Lorient, ",30,",  GK  ",34,3060	,-	,-	,-	,-	,-	,0.1	,-	,-	,-	,6.69
Krépin Diatta,"Monaco, ",25,",  D(R),M(CLR),FW  ",12(14),1196	,-	,2	,0.3	,0.9	,1.1	,0.9	,-	,0.8	,0.9	,6.69
Marshall Munetsi,"Reims, ",28,",  D(C),M(C)  ",25(2),2180	,4	,3	,1.6	,0.4	,0.4	,1	,0.1	,0.6	,1.9	,6.69
Arnaud Kalimuendo,"Rennes, ",22,",  FW  ",25(5),2154	,10	,1	,2	,0.9	,0.6	,1.7	,0.2	,1.2	,1.7	,6.69
Jordan Veretout,"Marseille, ",31,",  M(C)  ",24(5),2184	,1	,2	,1.2	,1.7	,0.3	,0.5	,-	,0.8	,0.8	,6.69
