Name,Team,Age,Position,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
Junior Mwanga,"Strasbourg, ",21,",  DMC  ",17(5),1458	,1	,1	,0.9	,0.6	,1.3	,1	,-	,1.1	,1.5	,6.59
Yoann Salmier,"Le Havre, ",31,",  D(CR)  ",18(2),1570	,1	,1	,0.5	,0.3	,0.3	,0.5	,0.2	,0.2	,0.5	,6.59
Jean-Charles Castelletto,"Nantes, ",29,",  D(CR)  ",28,2466	,2	,-	,0.4	,0.4	,0.3	,0.6	,0.1	,0.3	,0.5	,6.58
Milan Skriniar,"PSG, ",29,",  D(C)  ",17(7),1625	,-	,-	,0.1	,-	,0.1	,0.4	,-	,-	,0.3	,6.58
Abakar Sylla,"Strasbourg, ",21,",  D(C)  ",19(3),1792	,2	,-	,0.5	,0.2	,0.4	,0.2	,-	,0.3	,0.6	,6.58
Mohamed-Ali Cho,"Nice, ",20,",  AM(R),FW  ",11(6),866	,1	,2	,1.1	,0.8	,0.9	,1.3	,0.2	,0.9	,1.1	,6.58
Moussa Diarra,"Toulouse, ",23,",  D(CL)  ",15(7),1395	,1	,2	,0.2	,0.5	,0.2	,0.8	,-	,0.3	,1	,6.58
Ainsley Maitland-Niles,"Lyon, ",26,",  D(LR),M(CLR)  ",16(7),1433	,1	,4	,0.8	,0.8	,0.7	,0.5	,-	,0.5	,0.7	,6.57
Thomas Delaine,"Strasbourg, ",32,",  D(L),M(LR)  ",24(3),2052	,1	,1	,0.4	,1	,0.7	,0.8	,-	,0.4	,1.2	,6.57
Habib Keïta,"Clermont Foot, ",22,",  DMC  ",12(15),1273	,1	,-	,0.7	,0.4	,0.5	,1.3	,-	,0.6	,0.9	,6.57
Christopher Wooh,"Rennes, ",22,",  D(C)  ",15(3),1388	,1	,-	,0.6	,0.3	,0.1	,0.6	,-	,0.2	,0.6	,6.57
Keito Nakamura,"Reims, ",23,",  AM(L)  ",17(8),1390	,4	,1	,1.6	,0.6	,0.8	,0.2	,0.1	,1.1	,1.4	,6.56
Ângelo,"Strasbourg, ",19,",  AM(LR)  ",11(10),1089	,-	,3	,0.4	,1.2	,1.4	,1	,0.1	,1.1	,2.1	,6.56
Mikkel Desler,"Toulouse, ",29,",  D(R),M(R)  ",19(5),1552	,-	,1	,0.7	,0.3	,0.6	,0.8	,-	,0.4	,0.8	,6.56
Soungoutou Magassa,"Monaco, ",20,",  D(C)  ",15(6),1344	,-	,-	,0.4	,0.1	,0.4	,0.6	,-	,0.4	,1.1	,6.56
Folarin Balogun,"Monaco, ",23,",  FW  ",19(10),1697	,7	,5	,2.3	,0.9	,0.4	,1.2	,0.5	,1.4	,2.8	,6.56
Ablie Jallow,"Metz, ",25,",  AM(CR)  ",10(7),923	,3	,2	,1.1	,0.7	,0.9	,0.8	,-	,0.8	,1.2	,6.55
Matthis Abline,"Nantes, ",21,",  AM(L),FW  ",12(10),1044	,5	,-	,1.9	,0.8	,0.9	,0.6	,0.3	,0.6	,2.3	,6.55
Jim Allevinah,"Clermont Foot, ",29,",  M(CLR)  ",22(7),1880	,2	,1	,1.3	,0.7	,1	,0.9	,-	,0.9	,1.9	,6.55
Yusuf Yazici,"Lille, ",27,",  M(CLR),FW  ",16(11),1318	,5	,2	,1.5	,0.7	,0.5	,0.5	,0.1	,0.8	,1.2	,6.54
Fali Candé,"Metz, ",26,",  D(CL),M(L)  ",20(5),1846	,-	,1	,0.5	,0.2	,0.3	,0.6	,-	,0.1	,0.4	,6.54
Andy Diouf,"Lens, ",21,",  M(C)  ",16(9),1321	,1	,-	,1.1	,0.8	,1.2	,0.6	,-	,1.2	,1.2	,6.54
Falaye Sacko,"Montpellier, ",29,",  D(CLR),M(R)  ",15(4),1380	,-	,1	,0.1	,0.4	,0.6	,0.4	,-	,0.4	,0.7	,6.54
Elye Wahi,"Lens, ",21,",  AM(L),FW  ",20(7),1704	,9	,3	,2.2	,0.6	,0.6	,0.6	,0.9	,0.9	,2.1	,6.54
Maxime Colin,"Metz, ",32,",  D(CLR),M(R)  ",22,1836	,-	,-	,0.3	,0.2	,0.5	,0.4	,-	,0.5	,0.8	,6.53
Emmanuel Sabbi,"Le Havre, ",26,",  AM(L)  ",18(12),1589	,5	,1	,1	,0.3	,0.7	,1.2	,0.1	,0.7	,1.5	,6.53
Josué Casimir,"Le Havre, ",22,",  M(LR),FW  ",25(5),2035	,-	,5	,0.7	,1	,0.8	,0.9	,0.2	,0.8	,1.4	,6.53
Cheick Oumar Konaté,"Clermont Foot, ",20,",  D(C),M(R)  ",12(7),1069	,1	,1	,0.7	,0.8	,1.2	,0.7	,-	,0.7	,1	,6.53
Ludovic Blas,"Rennes, ",26,",  M(CLR),FW  ",18(11),1568	,4	,1	,1.5	,0.7	,0.9	,1.2	,0.1	,1	,1.4	,6.52
Tiémoué Bakayoko,"Lorient, ",29,",  DMC  ",15(5),1317	,2	,1	,0.6	,0.2	,0.3	,1.2	,0.1	,0.8	,1.2	,6.51
Jordan Lotomba,"Nice, ",25,",  D(LR),M(R)  ",21(7),1809	,1	,-	,0.4	,0.4	,0.7	,0.9	,-	,0.7	,0.8	,6.51
Emanuel Emegha,"Strasbourg, ",21,",  FW  ",23(5),2090	,8	,1	,1.7	,0.3	,0.4	,0.9	,0.4	,1	,1.6	,6.51
Marcus Coco,"Nantes, ",28,",  D(R),M(LR),FW  ",18(10),1489	,1	,-	,0.3	,0.4	,0.4	,1	,-	,0.4	,0.9	,6.51
Daler Kuzyaev,"Le Havre, ",31,",  D(R),M(CLR)  ",24(6),2099	,2	,2	,0.5	,1	,0.4	,0.9	,0.1	,0.5	,1	,6.51
Pedro Chirivella,"Nantes, ",27,",  DMC  ",31(1),2603	,1	,1	,0.5	,0.6	,0.2	,0.7	,0.1	,0.4	,0.7	,6.50
Gaëtan Laborde,"Nice, ",30,",  AM(CLR),FW  ",22(12),1914	,5	,2	,1.9	,0.8	,0.5	,0.2	,0.1	,0.8	,0.8	,6.50
Mathias Pereira Lage,"Brest, ",27,",  M(CLR)  ",12(18),1182	,3	,2	,1.2	,0.5	,0.3	,0.7	,0.2	,0.4	,0.9	,6.50
Frank Magri,"Toulouse, ",24,",  FW  ",14(15),1434	,5	,2	,1.4	,0.5	,0.4	,0.8	,0.1	,0.9	,1.3	,6.49
Wesley Saïd,"Lens, ",29,",  AM(CLR),FW  ",11(16),1015	,7	,1	,1.7	,0.4	,0.5	,0.6	,0.3	,0.4	,1	,6.49
Oumar Diakité,"Reims, ",20,",  FW  ",18(10),1590	,5	,1	,1.3	,0.5	,0.9	,1	,1.1	,1	,2.5	,6.49
Adam Ounas,"Lille, ",27,",  AM(CLR),FW  ",3(14),408	,1	,-	,0.5	,0.8	,0.9	,0.7	,0.1	,0.9	,0.8	,6.49
Maxime Gonalons,"Clermont Foot, ",35,",  D(C),M(C)  ",17(4),1310	,1	,-	,0.6	,0.3	,0.4	,0.7	,-	,0.6	,0.9	,6.49
Amir Richardson,"Reims, ",22,",  M(C)  ",14(14),1352	,3	,1	,0.6	,0.4	,0.3	,0.8	,-	,0.8	,0.8	,6.48
Azzedine Ounahi,"Marseille, ",24,",  AM(CR)  ",15(6),1215	,2	,-	,0.8	,0.7	,0.4	,1.1	,-	,0.8	,1	,6.48
Shamar Nicholson,"Clermont Foot, ",27,",  AM(C),FW  ",17(9),1487	,4	,3	,1.5	,0.7	,0.3	,1	,0.5	,0.7	,1.3	,6.48
Johan Gastien,"Clermont Foot, ",36,",  DMC  ",28,2273	,-	,-	,0.4	,1.1	,0.3	,1	,-	,0.3	,1	,6.47
Guillaume Restes,"Toulouse, ",19,",  GK  ",34,3060	,-	,-	,-	,-	,-	,0.3	,-	,-	,-	,6.47
Carlos Soler,"PSG, ",27,",  M(CLR)  ",12(12),1089	,2	,2	,0.6	,0.8	,0.2	,0.4	,-	,0.3	,0.6	,6.47
Loïc Négo,"Le Havre, ",33,",  D(R),M(CR)  ",18(10),1565	,-	,3	,0.6	,0.5	,0.5	,0.6	,0.1	,0.3	,0.5	,6.47
Jean-Kévin Duverne,"Nantes, ",26,",  D(CLR)  ",15(4),1350	,-	,-	,0.2	,0.2	,0.5	,0.8	,-	,0.4	,1.1	,6.46
Evann Guessand,"Nice, ",23,",  AM(R),FW  ",14(20),1544	,6	,-	,1.4	,0.4	,0.7	,1.4	,0.1	,1.5	,2.4	,6.46
Ibrahima Sissoko,"Strasbourg, ",26,",  D(C),DMC  ",18(9),1641	,-	,1	,0.5	,0.4	,0.4	,0.5	,-	,0.9	,1	,6.45
Kévin N'Doram,"Metz, ",28,",  DMC  ",18(5),1605	,-	,2	,0.3	,0.3	,0.2	,1	,-	,0.3	,0.7	,6.45
Jérémy Le Douaron,"Brest, ",26,",  AM(L),FW  ",19(14),1622	,4	,-	,1.5	,0.3	,0.5	,0.9	,0.1	,0.7	,1.6	,6.45
Kévin Van Den Kerkhof,"Metz, ",28,",  AM(R)  ",21(8),1920	,1	,2	,0.7	,0.7	,1.1	,0.3	,0.2	,1.2	,1.8	,6.45
Enzo Tchato,"Montpellier, ",21,",  D(R)  ",11(6),1123	,-	,-	,0.3	,0.4	,0.2	,0.3	,-	,0.1	,0.5	,6.45
Ivan Cavaleiro,"Lille, ",30,",  AM(CLR),FW  ",9(8),777	,1	,1	,0.6	,0.7	,0.6	,0.4	,0.1	,0.6	,1.5	,6.44
Gabriel Gudmundsson,"Lille, ",25,",  D(L),M(LR)  ",14(11),1264	,1	,-	,0.6	,0.5	,0.4	,0.8	,0.2	,0.7	,1	,6.44
Cheikh Sabaly,"Metz, ",25,",  AM(L)  ",17(12),1388	,3	,1	,0.7	,0.3	,1.1	,0.9	,0.2	,0.7	,1.2	,6.44
Ibrahim Salah,"Rennes, ",22,",  AM(L),FW  ",4(19),510	,4	,1	,0.7	,0.2	,0.5	,0.4	,-	,0.7	,0.8	,6.44
Malick Fofana,"Lyon, ",19,",  M(L)  ",4(13),550	,3	,-	,0.5	,0.4	,0.5	,0.6	,-	,0.6	,0.9	,6.43
Jonas Martin,"Brest, ",34,",  M(CL)  ",9(22),1194	,-	,1	,0.3	,0.5	,0.2	,0.4	,-	,0.4	,0.4	,6.43
Arthur Atta,"Metz, ",21,",  M(C)  ",10(11),922	,1	,2	,0.4	,0.6	,0.6	,0.6	,0.2	,0.8	,0.8	,6.43
Yassine Kechta,"Le Havre, ",22,",  M(C)  ",21(11),1857	,2	,1	,0.6	,0.8	,0.3	,1	,-	,0.6	,0.8	,6.43
Jordan Ferri,"Montpellier, ",32,",  M(C)  ",24(7),2042	,1	,1	,0.3	,0.9	,0.5	,1.4	,-	,1.1	,1.5	,6.42
Théo Le Bris,"Lorient, ",21,",  M(L)  ",15(11),1515	,-	,2	,0.5	,0.5	,0.6	,0.4	,-	,0.3	,1.2	,6.42
Khalil Fayad,"Montpellier, ",20,",  M(CL)  ",11(12),1023	,3	,-	,0.7	,0.3	,0.4	,1	,-	,0.6	,0.7	,6.42
Reda Khadra,"Reims, ",23,",  AM(CLR),FW  ",14(15),1365	,1	,3	,0.8	,0.8	,1	,0.3	,-	,1.2	,1.4	,6.41
Aron Dønnum,"Toulouse, ",26,",  M(CLR)  ",19(8),1604	,-	,1	,0.8	,0.9	,1.1	,1.3	,0.1	,0.9	,1.7	,6.41
Jeanuël Belocian,"Rennes, ",19,",  D(CL)  ",16(7),1450	,-	,1	,0.1	,0.3	,0.2	,0.7	,-	,0.2	,0.3	,6.41
Danley Jean Jacques,"Metz, ",24,",  DMC  ",30(3),2687	,-	,-	,1	,0.3	,0.4	,0.7	,0.1	,0.4	,0.9	,6.41
Matz Sels,"Strasbourg, ",32,",  GK  ",19,1710	,-	,-	,-	,0.1	,-	,0.2	,-	,-	,-	,6.40
Christophe Hérelle,"Metz, ",31,",  D(CR)  ",18(1),1620	,-	,-	,0.2	,0.1	,0.3	,1.7	,-	,0.1	,0.5	,6.40
Wahbi Khazri,"Montpellier, ",33,",  M(CLR),FW  ",13(12),1133	,1	,-	,1.7	,0.4	,0.6	,0.9	,0.3	,0.6	,1.2	,6.40
Warren Kamanzi,"Toulouse, ",23,",  D(R),M(R)  ",12(12),1183	,-	,3	,0.3	,0.5	,0.1	,0.6	,-	,0.5	,0.8	,6.40
Elbasan Rashani,"Clermont Foot, ",31,",  AM(CLR)  ",14(10),1178	,2	,-	,0.7	,0.5	,0.7	,1.2	,0.1	,0.9	,0.9	,6.38
Eli Kroupi,"Lorient, ",18,",  FW  ",11(19),1078	,5	,3	,0.7	,0.4	,0.4	,0.3	,0.3	,0.3	,0.8	,6.38
Morgan Guilavogui,"Lens, ",26,",  Forward  ",2(21),556	,2	,-	,0.9	,0.6	,0.2	,0.3	,0.3	,0.7	,1	,6.38
Julien Laporte,"Lorient, ",30,",  D(C)  ",20(3),1819	,-	,-	,0.6	,-	,-	,0.4	,-	,0.1	,-	,6.38
Gédéon Kalulu,"Lorient, ",26,",  D(R),M(R)  ",11(8),969	,-	,1	,0.3	,0.4	,0.2	,0.4	,-	,0.4	,0.5	,6.37
Ismaël Doukouré,"Strasbourg, ",20,",  D(C),DMC  ",19(3),1660	,-	,-	,0.4	,0.4	,1	,0.5	,-	,1.1	,0.5	,6.37
Alexis Claude-Maurice,"Nice, ",26,",  AM(CL)  ",4(14),496	,-	,-	,1	,0.4	,0.9	,0.4	,0.1	,0.6	,0.6	,6.36
Kevin Gameiro,"Strasbourg, ",37,",  AM(C),FW  ",15(12),1349	,4	,2	,1.1	,0.9	,0.3	,0.2	,0.1	,0.6	,0.9	,6.36
Andy Pelmard,"Clermont Foot, ",24,",  D(CR)  ",33(1),2988	,-	,-	,0.1	,0.2	,0.2	,0.6	,-	,0.1	,0.3	,6.36
Saël Kumbedi,"Lyon, ",19,",  D(R),M(R)  ",8(9),917	,-	,1	,0.4	,0.3	,0.4	,0.7	,0.1	,0.4	,1.2	,6.36
Adrien Thomasson,"Lens, ",30,",  M(CLR)  ",13(16),1195	,1	,2	,1.1	,1	,0.3	,0.6	,0.2	,0.8	,1	,6.36
Yohann Magnin,"Clermont Foot, ",27,",  M(C)  ",17(14),1679	,1	,-	,0.5	,0.3	,0.1	,0.7	,-	,0.4	,1.2	,6.36
Thibault De Smet,"Reims, ",26,",  D(L),M(L)  ",22(5),1835	,-	,-	,0.1	,0.5	,0.2	,0.3	,0.1	,0.3	,0.5	,6.35
Bilal Boutobba,"Clermont Foot, ",25,",  AM(R)  ",10(17),921	,1	,1	,0.9	,0.4	,0.6	,1	,0.1	,0.6	,1	,6.35
Thomas Foket,"Reims, ",29,",  D(CLR),M(R)  ",22(5),1838	,-	,1	,0.1	,0.4	,0.3	,0.5	,0.1	,0.4	,1	,6.35
Mama Baldé,"Lyon, ",28,",  D(R),M(CLR),FW  ",4(16),543	,2	,3	,0.9	,0.7	,0.6	,0.5	,0.2	,0.6	,1.4	,6.35
Ismaël Traoré,"Metz, ",37,",  D(CR)  ",25(1),2221	,2	,-	,0.4	,0.1	,0.2	,0.2	,-	,0.1	,0.3	,6.35
Maximiliano Caufriez,"Clermont Foot, ",27,",  D(CR)  ",20,1666	,-	,1	,0.3	,0.5	,0.4	,0.9	,-	,0.6	,0.6	,6.34
Joel Asoro,"Metz, ",25,",  AM(R),FW  ",10(10),850	,2	,1	,0.3	,0.4	,0.6	,1.1	,0.2	,0.9	,1.3	,6.33
Abdoul Kader Bamba,"Nantes, ",30,",  AM(LR)  ",1(22),598	,2	,1	,0.6	,0.5	,0.4	,1.5	,0.2	,0.6	,0.7	,6.32
Antoine Joujou,"Le Havre, ",21,",  AM(L)  ",6(17),767	,-	,2	,0.9	,0.4	,0.8	,0.4	,-	,1.1	,1	,6.32
Moussa Sissoko,"Nantes, ",34,",  M(CR)  ",21(5),1823	,-	,-	,0.4	,0.5	,0.4	,0.1	,0.1	,0.3	,0.9	,6.31
Hákon Haraldsson,"Lille, ",21,",  AM(CL),FW  ",15(11),1290	,2	,-	,0.5	,0.6	,0.6	,1.1	,-	,0.6	,1	,6.30
Samuel Moutoussamy,"Nantes, ",27,",  M(CL)  ",11(15),1100	,1	,-	,0.6	,0.4	,0.2	,0.5	,-	,0.3	,0.7	,6.29
Moïse Sahi,"Strasbourg, ",22,",  Forward  ",7(11),625	,3	,1	,1.3	,0.3	,0.2	,0.1	,0.1	,0.3	,1.2	,6.27
Mehdi Zeffane,"Clermont Foot, ",32,",  D(LR),M(R)  ",15(8),1227	,-	,-	,0.8	,0.4	,0.1	,0.3	,0.1	,0.2	,0.7	,6.26
Massadio Haïdara,"Lens, ",31,",  D(CL),M(L)  ",7(11),737	,-	,1	,0.2	,0.1	,-	,0.4	,0.1	,0.3	,0.3	,6.25
Grejohn Kyei,"Clermont Foot, ",28,",  FW  ",10(16),1018	,2	,1	,1.2	,0.5	,0.4	,0.4	,0.3	,0.7	,1.5	,6.25
Aiyegun Tosin,"Lorient, ",26,",  AM(C),FW  ",10(9),903	,2	,-	,0.6	,0.4	,0.6	,0.8	,0.2	,0.7	,0.9	,6.22
Salis Abdul Samed,"Lens, ",24,",  DMC  ",17(10),1516	,-	,-	,0.2	,0.2	,0.3	,0.6	,-	,0.4	,0.9	,6.22
Bertug Yildirim,"Rennes, ",21,",  FW  ",2(19),455	,-	,1	,0.5	,0.2	,0.3	,0.7	,0.2	,0.3	,0.6	,6.21
Léo Leroy,"Montpellier, ",24,",  DMC  ",4(18),487	,-	,1	,0.3	,0.2	,0.2	,0.2	,-	,0.2	,0.4	,6.17
Jessy Deminguet,"Strasbourg, ",26,",  M(CL)  ",9(9),688	,-	,-	,0.2	,0.1	,0.1	,0.5	,0.1	,0.3	,0.6	,6.13
Rassoul Ndiaye,"Le Havre, ",22,",  M(C)  ",6(13),518	,-	,-	,0.3	,0.1	,0.4	,0.2	,0.1	,0.3	,0.4	,6.11
Samuel Grandsir,"Le Havre, ",27,",  AM(LR)  ",4(19),591	,1	,1	,0.7	,0.6	,0.3	,0.2	,0.2	,0.4	,0.5	,6.11
Romain Perraud,"Nice, ",26,",  D(L),M(L)  ",2(17),360	,-	,1	,0.1	,0.2	,0.1	,0.4	,-	,0.1	,0.6	,6.09
Billal Brahimi,"Brest, ",24,",  AM(L),FW  ",1(17),209	,-	,-	,0.2	,0.3	,0.5	,0.2	,0.1	,0.4	,0.3	,6.07
