Name,Team,Age,Position,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
Danny Welbeck,"Brighton, ",33,",  AM(CLR),FW  ",21(8),1707	,5	,1	,1.4	,0.8	,0.3	,0.7	,0.3	,0.7	,1.6	,6.58
Lyle Foster,"Burnley, ",23,",  FW  ",22(2),1908	,5	,3	,1.4	,0.8	,0.8	,0.5	,0.6	,1.4	,2.9	,6.57
Raphaël Varane,"Man Utd, ",31,",  D(C)  ",16(6),1374	,1	,-	,0.4	,-	,-	,0.1	,0.1	,0.1	,0.3	,6.57
Reece Burke,"Luton, ",27,",  D(CR)  ",20(2),1666	,-	,4	,0.6	,0.6	,0.2	,0.5	,-	,0.2	,0.8	,6.57
Odsonne Édouard,"Crystal Palace, ",26,",  AM(L),FW  ",17(13),1556	,7	,-	,1.7	,0.6	,0.6	,0.7	,0.3	,0.9	,1.8	,6.56
Konstantinos Mavropanos,"West Ham, ",26,",  D(CR)  ",16(3),1501	,1	,-	,0.6	,0.2	,0.1	,0.5	,-	,-	,0.4	,6.55
Marc Guéhi,"Crystal Palace, ",23,",  D(C)  ",23(2),2023	,-	,1	,0.2	,0.3	,0.3	,1	,-	,0.1	,0.4	,6.55
Justin Kluivert,"Bournemouth, ",25,",  AM(CLR),FW  ",26(6),1937	,7	,1	,1.8	,0.7	,0.8	,0.9	,0.2	,0.9	,1.6	,6.55
Issa Kaboré,"Luton, ",23,",  D(R),M(R)  ",21(3),1734	,-	,2	,0.3	,0.7	,0.8	,1.3	,0.1	,0.3	,1	,6.55
Danilo,"Nottingham Forest, ",23,",  M(C)  ",20(9),1801	,2	,2	,0.8	,0.7	,0.6	,0.3	,0.1	,0.4	,0.8	,6.55
Toti Gomes,"Wolves, ",25,",  D(CL)  ",31(4),2779	,1	,3	,0.3	,0.2	,0.7	,0.4	,0.1	,0.2	,0.5	,6.55
Antony,"Man Utd, ",24,",  AM(R)  ",15(14),1324	,1	,1	,1.5	,0.8	,0.9	,1.1	,0.1	,0.7	,0.9	,6.54
David Raya,"Arsenal, ",28,",  GK  ",32,2880	,-	,-	,-	,-	,-	,0.1	,-	,-	,-	,6.54
Eddie Nketiah,"Arsenal, ",25,",  FW  ",10(17),1073	,5	,2	,1.4	,0.3	,0.3	,1	,0.3	,0.7	,1.4	,6.53
Illia Zabarnyi,"Bournemouth, ",21,",  D(C)  ",37,3330	,1	,-	,0.2	,0.2	,0.2	,0.6	,-	,0.1	,0.4	,6.53
Will Hughes,"Crystal Palace, ",29,",  M(CLR)  ",23(7),1899	,-	,1	,0.3	,0.7	,0.3	,1	,-	,0.9	,0.7	,6.53
Harry Wilson,"Fulham, ",27,",  AM(CLR)  ",16(19),1616	,4	,6	,1.1	,0.6	,0.4	,1.1	,0.1	,0.3	,0.9	,6.52
Tom Cairney,"Fulham, ",33,",  M(CR)  ",14(20),1480	,1	,4	,0.5	,0.8	,0.8	,0.7	,-	,0.7	,0.9	,6.52
Nathaniel Clyne,"Crystal Palace, ",33,",  D(CLR),M(R)  ",14(5),1339	,-	,-	,0.2	,0.2	,0.4	,0.2	,-	,-	,0.7	,6.52
Kurt Zouma,"West Ham, ",29,",  D(CR)  ",32(1),2841	,3	,-	,0.5	,0.1	,0.1	,0.2	,-	,0.1	,0.4	,6.52
Igor Julio,"Brighton, ",26,",  D(CL),M(L)  ",17(7),1638	,-	,-	,0.2	,0.3	,0.7	,0.2	,-	,0.3	,0.4	,6.52
