Name,Team,Age,Position,Apps,Mins,Assists,KeyP,AvgP,PS,Crosses,LongB,ThrB,Rating
Nico Schlotterbeck,"Borussia Dortmund, ",24,",  D(C)  ",32(1),2861	,1	,0.5	,80.5	,89.2	,-	,5.7	,0.1	,6.99
Jonas Wind,"Wolfsburg, ",25,",  AM(C),FW  ",31(3),2662	,7	,1.1	,19.4	,71.3	,0.1	,0.5	,0.2	,6.98
Benjamin Henrichs,"RBL, ",27,",  D(LR),DMC,M(LR)  ",28(5),2532	,5	,1.2	,41.5	,79.5	,0.6	,1.8	,0.2	,6.98
Ermedin Demirovic,"Augsburg, ",26,",  AM(CL),FW  ",33,2881	,9	,1	,16.8	,66.5	,-	,0.3	,0.1	,6.98
Maximilian Beier,"Hoffenheim, ",21,",  AM(LR),FW  ",29(4),2434	,1	,0.7	,15.2	,73.5	,0.3	,0.1	,-	,6.98
Marvin Ducksch,"Werder Bremen, ",30,",  AM(C),FW  ",32(1),2713	,9	,1.8	,23.6	,66.4	,1.3	,1.1	,0.1	,6.96
Jonathan Tah,"Leverkusen, ",28,",  D(C)  ",30(1),2633	,1	,0.2	,70.5	,94.7	,-	,1.7	,-	,6.96
Waldemar Anton,"Stuttgart, ",27,",  D(CR),DMC  ",32(1),2888	,3	,0.3	,78.1	,89.3	,0.1	,3	,0.1	,6.96
Niclas Füllkrug,"Borussia Dortmund, ",31,",  FW  ",27(2),2225	,8	,1.2	,19.5	,66.6	,-	,0.6	,-	,6.96
Josip Stanisic,"Leverkusen, ",24,",  D(CR),M(R)  ",13(7),1257	,1	,0.6	,51	,90.7	,0.3	,2.1	,0.1	,6.94
Enzo Millot,"Stuttgart, ",21,",  M(C)  ",27(4),2256	,4	,1.1	,45.5	,86.7	,0.3	,1	,0.3	,6.94
Ritsu Doan,"Freiburg, ",26,",  M(CLR),FW  ",26(4),2255	,2	,1	,21.4	,75.4	,0.5	,0.5	,0.1	,6.93
Xaver Schlager,"RBL, ",26,",  M(C)  ",29,2482	,5	,0.9	,61	,88.9	,0.1	,2.2	,0.2	,6.93
Oliver Baumann,"Hoffenheim, ",34,",  GK  ",34,3060	,1	,0.1	,36.6	,71.7	,-	,7.6	,-	,6.92
Vincenzo Grifo,"Freiburg, ",31,",  AM(CL)  ",29(3),2347	,8	,1.8	,35.6	,80.5	,1.3	,2	,0.2	,6.92
Odilon Kossounou,"Leverkusen, ",23,",  D(CR)  ",21(1),1813	,-	,0.5	,62.2	,89.1	,-	,1.7	,0.1	,6.92
Noussair Mazraoui,"Bayern, ",26,",  D(LR)  ",15(4),1198	,3	,0.8	,45.3	,89.9	,0.2	,0.9	,-	,6.90
Bernardo,"Bochum, ",29,",  D(CLR),M(L)  ",33,2926	,-	,0.4	,41	,71.1	,0.3	,2.6	,-	,6.90
Marco Friedl,"Werder Bremen, ",26,",  D(CL),M(L)  ",25,2199	,-	,-	,42.7	,86.8	,-	,3.6	,-	,6.90
Robin Gosens,"Union Berlin, ",30,",  D(L),M(CL)  ",27(3),2300	,3	,1.1	,30.3	,74.6	,0.7	,1.3	,-	,6.90
Keven Schlotterbeck,"Bochum, ",27,",  D(C)  ",24(3),2184	,1	,0.4	,37.2	,79.3	,0.1	,1.6	,-	,6.89
Dan-Axel Zagadou,"Stuttgart, ",25,",  D(CL)  ",16(3),1453	,-	,0.2	,71.5	,86.7	,-	,3.3	,-	,6.89
Emre Can,"Borussia Dortmund, ",30,",  D(CLR),DMC  ",22(3),1956	,2	,0.8	,58.5	,87.6	,-	,2.8	,-	,6.88
Marco Reus,"Borussia Dortmund, ",35,",  M(CLR),FW  ",18(8),1612	,6	,1.4	,25.6	,85.9	,0.4	,0.5	,0.2	,6.88
Robert Andrich,"Leverkusen, ",29,",  D(C),M(C)  ",18(10),1683	,2	,0.8	,52.7	,90.8	,0.1	,1.4	,0.1	,6.88
Timo Hübers,"FC Koln, ",27,",  D(C)  ",31,2779	,-	,0.2	,55.7	,84.8	,-	,2.6	,-	,6.88
Jeff Chabot,"FC Koln, ",26,",  D(C)  ",32,2708	,-	,0.3	,50.2	,84.5	,-	,2.8	,-	,6.88
Marcel Sabitzer,"Borussia Dortmund, ",30,",  M(CLR),FW  ",23(2),1966	,3	,0.9	,40.8	,83	,0.3	,1.4	,-	,6.87
