Name,Team,Age,Position,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
Josip Stanisic,"Leverkusen, ",24,",  D(CR),M(R)  ",13(7),1257	,3	,1	,0.5	,0.6	,0.6	,0.4	,0.1	,0.3	,0.7	,6.94
Enzo Millot,"Stuttgart, ",21,",  M(C)  ",27(4),2256	,5	,4	,1.3	,1.1	,1.5	,1.1	,0.1	,1.1	,2.2	,6.94
Ritsu Doan,"Freiburg, ",26,",  M(CLR),FW  ",26(4),2255	,7	,2	,1.2	,1	,1.8	,1.2	,0.1	,1.2	,1.6	,6.93
Xaver Schlager,"RBL, ",26,",  M(C)  ",29,2482	,-	,5	,0.7	,0.9	,0.7	,0.9	,0.1	,0.9	,1.1	,6.93
Oliver Baumann,"Hoffenheim, ",34,",  GK  ",34,3060	,-	,1	,-	,0.1	,-	,0.2	,-	,-	,-	,6.92
Vincenzo Grifo,"Freiburg, ",31,",  AM(CL)  ",29(3),2347	,8	,8	,1.5	,1.8	,0.7	,0.5	,0.2	,0.6	,1.2	,6.92
Odilon Kossounou,"Leverkusen, ",23,",  D(CR)  ",21(1),1813	,1	,-	,0.2	,0.5	,1	,0.3	,-	,0.7	,0.5	,6.92
Noussair Mazraoui,"Bayern, ",26,",  D(LR)  ",15(4),1198	,-	,3	,0.6	,0.8	,0.6	,0.6	,-	,0.3	,0.7	,6.90
Bernardo,"Bochum, ",29,",  D(CLR),M(L)  ",33,2926	,1	,-	,0.9	,0.4	,0.4	,0.8	,0.1	,0.5	,1	,6.90
Marco Friedl,"Werder Bremen, ",26,",  D(CL),M(L)  ",25,2199	,1	,-	,0.3	,-	,0.2	,0.7	,-	,0.2	,0.5	,6.90
Robin Gosens,"Union Berlin, ",30,",  D(L),M(CL)  ",27(3),2300	,6	,3	,1.1	,1.1	,0.2	,0.8	,0.6	,0.3	,1	,6.90
Keven Schlotterbeck,"Bochum, ",27,",  D(C)  ",24(3),2184	,5	,1	,1	,0.4	,0.2	,1.2	,-	,-	,0.4	,6.89
Dan-Axel Zagadou,"Stuttgart, ",25,",  D(CL)  ",16(3),1453	,1	,-	,0.6	,0.2	,0.2	,0.2	,0.1	,0.1	,0.3	,6.89
Emre Can,"Borussia Dortmund, ",30,",  D(CLR),DMC  ",22(3),1956	,2	,2	,0.7	,0.8	,0.6	,0.9	,-	,0.8	,1.2	,6.88
Marco Reus,"Borussia Dortmund, ",35,",  M(CLR),FW  ",18(8),1612	,6	,6	,1.6	,1.4	,0.3	,0.8	,0.2	,0.6	,1.6	,6.88
Robert Andrich,"Leverkusen, ",29,",  D(C),M(C)  ",18(10),1683	,4	,2	,0.8	,0.8	,0.3	,0.5	,-	,0.3	,0.5	,6.88
Timo Hübers,"FC Koln, ",27,",  D(C)  ",31,2779	,-	,-	,0.7	,0.2	,0.1	,0.8	,-	,0.2	,0.4	,6.88
Jeff Chabot,"FC Koln, ",26,",  D(C)  ",32,2708	,-	,-	,0.6	,0.3	,0.3	,1.3	,0.1	,0.1	,0.6	,6.88
Marcel Sabitzer,"Borussia Dortmund, ",30,",  M(CLR),FW  ",23(2),1966	,4	,3	,1.9	,0.9	,0.4	,1.1	,-	,0.6	,0.9	,6.87
Wout Weghorst,"Hoffenheim, ",31,",  FW  ",24(4),1987	,7	,3	,1.4	,1.2	,0.1	,1.2	,0.5	,0.7	,1.9	,6.87
Thomas Müller,"Bayern, ",34,",  M(CLR),FW  ",20(11),1660	,5	,9	,1.2	,1.6	,0.4	,0.7	,0.5	,0.7	,0.9	,6.86
Atakan Karazor,"Stuttgart, ",27,",  D(C),DMC  ",31(2),2630	,-	,4	,0.6	,0.9	,0.2	,1.8	,-	,0.6	,0.7	,6.86
Willi Orbán,"RBL, ",31,",  D(C)  ",18(1),1583	,-	,-	,0.4	,0.4	,0.1	,0.5	,-	,0.1	,0.4	,6.86
Michael Zetterer,"Werder Bremen, ",28,",  GK  ",27,2430	,-	,-	,-	,0.1	,-	,0.3	,-	,-	,0.1	,6.85
Hiroki Ito,"Stuttgart, ",25,",  D(CL)  ",25(1),2232	,-	,2	,0.7	,0.7	,0.3	,0.3	,0.1	,0.2	,0.5	,6.85
Max Wöber,"Borussia M.Gladbach, ",26,",  D(CL)  ",24(1),2070	,2	,3	,0.8	,0.5	,0.1	,0.1	,0.2	,0.1	,0.2	,6.84
Mats Hummels,"Borussia Dortmund, ",35,",  D(C)  ",20(5),1583	,3	,-	,0.6	,0.4	,0.1	,0.4	,-	,0.2	,0.3	,6.84
Gregor Kobel,"Borussia Dortmund, ",26,",  GK  ",27,2366	,-	,-	,-	,-	,-	,0.1	,-	,-	,-	,6.84
Benjamin Sesko,"RBL, ",21,",  FW  ",17(14),1532	,14	,2	,1.5	,0.4	,0.5	,0.3	,0.4	,1.2	,1	,6.83
Leandro Barreiro,"Mainz, ",24,",  DMC  ",29(2),2607	,4	,1	,1.2	,0.6	,0.5	,1.7	,0.1	,0.5	,1.4	,6.83
Alassane Pléa,"Borussia M.Gladbach, ",31,",  AM(CLR),FW  ",24(3),1914	,7	,4	,2.1	,1.3	,0.8	,1.1	,0.2	,1.2	,1.3	,6.82
Brajan Gruda,"Mainz, ",20,",  AM(C)  ",19(9),1652	,4	,3	,1.1	,1.5	,2.5	,1.7	,0.3	,1.8	,2.5	,6.82
Phillip Tietz,"Augsburg, ",27,",  FW  ",31(3),2407	,8	,4	,1.5	,0.9	,0.4	,0.5	,0.5	,0.6	,2.1	,6.81
Florian Grillitsch,"Hoffenheim, ",28,",  D(C),M(CL)  ",25(5),2297	,1	,6	,0.7	,0.6	,0.4	,0.8	,-	,0.4	,0.4	,6.81
Kevin Behrens,"Union Berlin, ",33,",  FW  ",14(4),1266	,4	,-	,2.3	,0.9	,0.2	,1.1	,0.4	,0.7	,2.2	,6.81
Mohamed Simakan,"RBL, ",24,",  D(CR)  ",23(9),2140	,2	,3	,0.9	,0.5	,0.4	,0.8	,0.1	,0.3	,0.8	,6.79
Robin Hack,"Borussia M.Gladbach, ",25,",  AM(CLR),FW  ",14(15),1348	,10	,2	,1.5	,0.9	,0.9	,0.8	,0.3	,1.2	,1.7	,6.78
Frederik Rønnow,"Union Berlin, ",31,",  GK  ",33,2970	,-	,-	,0.1	,-	,-	,0.1	,-	,-	,-	,6.78
Pavel Kaderábek,"Hoffenheim, ",32,",  D(R),M(LR)  ",28(1),2421	,3	,4	,0.7	,1.3	,0.1	,0.4	,-	,0.4	,0.4	,6.78
Lukás Hrádecky,"Leverkusen, ",34,",  GK  ",33,2970	,-	,-	,-	,-	,-	,-	,-	,-	,-	,6.78
Amine Adli,"Leverkusen, ",24,",  AM(CLR),FW  ",8(15),892	,4	,4	,1.2	,0.9	,0.6	,1.2	,0.3	,0.4	,0.7	,6.78
Julian Ryerson,"Borussia Dortmund, ",26,",  D(LR),M(CLR)  ",20(1),1772	,4	,1	,0.9	,0.7	,0.8	,1.2	,-	,1.2	,1.4	,6.78
Lucas Höler,"Freiburg, ",30,",  AM(CLR),FW  ",26(7),2311	,7	,2	,1	,1	,0.4	,1.5	,0.2	,0.6	,1.8	,6.78
Edmond Tapsoba,"Leverkusen, ",25,",  D(C)  ",23(5),2085	,-	,1	,0.4	,0.3	,0.5	,0.1	,-	,0.3	,0.5	,6.78
Junior Dina Ebimbe,"Eintracht Frankfurt, ",23,",  M(CLR)  ",25(6),1972	,5	,3	,1.7	,0.6	,1.4	,0.5	,0.1	,1	,1.9	,6.77
Max Finkgräfe,"FC Koln, ",20,",  D(L)  ",18(6),1757	,1	,-	,0.5	,1	,1.5	,0.9	,-	,1	,1.5	,6.77
Julian Weigl,"Borussia M.Gladbach, ",28,",  D(C),DMC  ",31,2766	,2	,3	,0.6	,0.8	,0.5	,1	,-	,0.3	,0.5	,6.77
Michael Gregoritsch,"Freiburg, ",30,",  AM(CR),FW  ",19(13),1686	,7	,4	,2.3	,0.5	,0.2	,0.6	,0.2	,0.4	,1.1	,6.77
Maximilian Arnold,"Wolfsburg, ",30,",  M(CR)  ",27(3),2504	,2	,1	,1.1	,1.6	,0.2	,1.5	,-	,0.6	,0.7	,6.76
Ellyes Skhiri,"Eintracht Frankfurt, ",29,",  DMC  ",24(3),2170	,2	,1	,0.7	,0.7	,0.4	,0.7	,0.1	,0.9	,1	,6.76
Mathys Tel,"Bayern, ",19,",  Forward  ",6(24),1031	,7	,5	,1.4	,0.4	,1.2	,0.5	,0.1	,1.1	,1.2	,6.76
Patrik Schick,"Leverkusen, ",28,",  AM(R),FW  ",12(8),1065	,7	,-	,2	,0.5	,0.4	,0.7	,0.3	,0.9	,1.2	,6.76
Nico Elvedi,"Borussia M.Gladbach, ",27,",  D(CLR)  ",28(2),2485	,2	,1	,0.6	,0.1	,0.2	,0.6	,-	,0.1	,0.2	,6.76
Raphaël Guerreiro,"Bayern, ",30,",  D(L),M(CL)  ",13(7),1194	,3	,-	,0.9	,1.2	,0.7	,0.4	,-	,0.6	,0.5	,6.76
Jens Stage,"Werder Bremen, ",27,",  M(C)  ",26(4),2333	,3	,1	,1.3	,0.8	,0.2	,1.3	,0.1	,0.5	,0.5	,6.75
Eren Dinkçi,"FC Heidenheim, ",22,",  AM(CR)  ",33,2677	,10	,4	,1.5	,1.1	,1.2	,0.7	,0.1	,1.4	,3	,6.75
Jonathan Burkardt,"Mainz, ",23,",  AM(CR),FW  ",18(3),1542	,8	,2	,2	,0.7	,1.1	,1.7	,0.1	,1.8	,2.5	,6.75
Konrad Laimer,"Bayern, ",27,",  D(R),M(CR)  ",18(11),1770	,-	,3	,0.6	,0.9	,0.8	,0.5	,0.1	,0.6	,0.9	,6.75
Lee Jae-Sung,"Mainz, ",31,",  AM(CLR),FW  ",24(5),2128	,6	,3	,1.3	,1.1	,0.5	,0.9	,0.3	,0.8	,1.4	,6.75
Piero Hincapié,"Leverkusen, ",22,",  D(CL),M(L)  ",16(10),1484	,1	,2	,0.7	,0.2	,-	,0.4	,-	,0.2	,0.4	,6.74
Iago,"Augsburg, ",27,",  D(L),M(L)  ",18(5),1625	,1	,1	,0.8	,0.7	,0.8	,1	,0.2	,0.4	,1	,6.74
Willian Pacho,"Eintracht Frankfurt, ",22,",  D(C)  ",33,2970	,-	,2	,0.3	,0.2	,0.4	,0.4	,-	,0.2	,0.7	,6.74
Rocco Reitz,"Borussia M.Gladbach, ",22,",  M(C)  ",24(10),2142	,6	,3	,1	,0.6	,0.6	,1.3	,0.1	,0.9	,1.2	,6.74
Aleksandar Pavlovic,"Bayern, ",20,",  DMC  ",14(5),1231	,2	,2	,0.4	,0.6	,0.3	,0.8	,-	,0.7	,0.6	,6.73
Moritz Nicolas,"Borussia M.Gladbach, ",26,",  GK  ",27,2430	,-	,-	,-	,-	,-	,0.1	,-	,-	,-	,6.73
Tuta,"Eintracht Frankfurt, ",25,",  D(C)  ",30,2608	,1	,2	,0.6	,0.4	,0.4	,0.6	,-	,0.5	,0.8	,6.73
Eric Martel,"FC Koln, ",22,",  DMC  ",29(1),2464	,1	,1	,0.9	,0.4	,0.2	,1.4	,0.1	,0.8	,0.8	,6.73
Danilho Doekhi,"Union Berlin, ",26,",  D(C)  ",24,2160	,2	,-	,0.7	,0.2	,0.1	,0.8	,-	,0.1	,0.4	,6.72
Maxence Lacroix,"Wolfsburg, ",24,",  D(C)  ",27(1),2365	,4	,1	,0.4	,0.3	,0.3	,0.7	,-	,-	,0.7	,6.71
Romano Schmid,"Werder Bremen, ",24,",  AM(CLR),FW  ",30(3),2617	,4	,6	,1.2	,1.5	,1.2	,1.6	,0.1	,1.8	,2.4	,6.71
Ozan Kabak,"Hoffenheim, ",24,",  D(C)  ",28,2293	,4	,1	,0.7	,0.3	,0.3	,0.3	,-	,0.2	,0.5	,6.71
Manu Koné,"Borussia M.Gladbach, ",23,",  DMC  ",18(4),1567	,1	,-	,1.1	,1.1	,1.7	,1.6	,0.1	,1.9	,1.9	,6.70
Ivan Ordets,"Bochum, ",32,",  D(C)  ",21(3),1879	,1	,-	,0.7	,0.2	,-	,0.8	,0.1	,-	,0.2	,6.70
Jan Schöppner,"FC Heidenheim, ",25,",  M(C)  ",23(3),2002	,2	,2	,0.7	,0.5	,0.4	,0.5	,-	,0.5	,1.2	,6.70
Ko Itakura,"Borussia M.Gladbach, ",27,",  D(C),DMC  ",18(2),1599	,3	,-	,1.1	,0.3	,0.3	,0.2	,-	,0.3	,0.4	,6.70
Jamie Bynoe-Gittens,"Borussia Dortmund, ",19,",  AM(L)  ",14(11),1061	,1	,4	,1.7	,0.7	,1.7	,1	,-	,1.2	,1.4	,6.70
Anthony Caci,"Mainz, ",27,",  D(CLR),M(LR)  ",29(2),2493	,2	,3	,1	,0.8	,0.7	,0.5	,-	,0.3	,0.7	,6.70
Kevin Müller,"FC Heidenheim, ",33,",  GK  ",34,3060	,-	,-	,-	,-	,-	,0.1	,-	,-	,0.1	,6.70
Felix Uduokhai,"Augsburg, ",26,",  D(C)  ",33,2923	,2	,-	,0.4	,0.3	,0.2	,0.7	,-	,0.2	,0.5	,6.69
Farès Chaïbi,"Eintracht Frankfurt, ",21,",  AM(CL),FW  ",21(7),1924	,2	,4	,1.4	,1.8	,0.3	,0.4	,0.3	,0.6	,1.5	,6.69
Niels Nkounkou,"Eintracht Frankfurt, ",23,",  D(L),M(L)  ",13(16),1304	,3	,2	,0.8	,0.6	,1.6	,0.1	,-	,0.3	,0.8	,6.69
Nicolas Höfler,"Freiburg, ",34,",  D(C),DMC  ",26(2),2333	,1	,1	,0.6	,0.3	,0.5	,1.1	,-	,0.7	,0.7	,6.68
Matthijs de Ligt,"Bayern, ",24,",  D(C)  ",16(6),1391	,2	,-	,0.6	,0.1	,0.1	,0.4	,-	,0.1	,0.4	,6.68
Phillipp Mwene,"Mainz, ",30,",  D(LR),M(LR)  ",23,2004	,1	,2	,1	,1	,0.7	,0.6	,0.1	,0.6	,1.1	,6.68
Robin Koch,"Eintracht Frankfurt, ",27,",  D(C),DMC  ",31,2740	,2	,-	,0.8	,0.1	,0.1	,0.4	,-	,0.1	,0.3	,6.68
Joakim Mæhle,"Wolfsburg, ",27,",  D(LR),M(LR)  ",27(3),2455	,2	,3	,0.7	,0.7	,0.7	,0.5	,0.1	,0.5	,1.2	,6.68
Fredrik Jensen,"Augsburg, ",26,",  AM(CLR),FW  ",18(4),1352	,2	,4	,0.6	,1.5	,0.2	,0.1	,0.2	,0.5	,1	,6.68
Kevin Mbabu,"Augsburg, ",29,",  D(R),M(R)  ",22(3),2049	,-	,2	,0.2	,0.8	,1.2	,1	,0.1	,1	,1.6	,6.67
Davie Selke,"FC Koln, ",29,",  FW  ",16(3),1274	,6	,-	,1.7	,0.6	,0.3	,0.9	,0.5	,0.6	,1.1	,6.67
John Anthony Brooks,"Hoffenheim, ",31,",  D(C)  ",18(3),1541	,2	,-	,0.5	,0.1	,0.1	,0.6	,-	,0.2	,0.1	,6.67
Matthias Ginter,"Freiburg, ",30,",  D(CR),DMC  ",22(1),1918	,-	,2	,0.3	,0.2	,0.1	,0.7	,-	,0.1	,0.3	,6.67
Jeffrey Gouweleeuw,"Augsburg, ",33,",  D(C)  ",29(1),2595	,1	,-	,0.8	,0.5	,0.5	,0.3	,0.1	,0.2	,0.4	,6.67
Tim Skarke,"Darmstadt, ",27,",  AM(CLR),FW  ",29(1),2418	,8	,-	,2.3	,1	,0.9	,1.3	,0.6	,0.8	,1.8	,6.65
Lovro Majer,"Wolfsburg, ",26,",  AM(CR)  ",25(7),2121	,5	,5	,1.2	,1.2	,0.8	,1.2	,-	,0.8	,1.8	,6.65
Ihlas Bebou,"Hoffenheim, ",30,",  M(CLR),FW  ",16(16),1631	,7	,5	,1.2	,0.5	,0.8	,0.7	,0.2	,0.8	,2	,6.65
Alexander Nübel,"Stuttgart, ",27,",  GK  ",30,2700	,-	,-	,-	,-	,-	,0.1	,-	,-	,-	,6.64
Florian Kainz,"FC Koln, ",31,",  M(CLR)  ",29(4),2212	,5	,4	,0.8	,1.6	,0.7	,1	,-	,0.8	,0.8	,6.64
Jordan Siebatcheu,"Borussia M.Gladbach, ",28,",  FW  ",18(7),1441	,5	,3	,1.4	,0.8	,0.1	,1.2	,0.3	,1.2	,1.7	,6.64
Philipp Hofmann,"Bochum, ",31,",  FW  ",18(11),1578	,4	,2	,1.3	,0.7	,0.3	,0.9	,0.1	,0.5	,1.5	,6.64
Arne Maier,"Augsburg, ",25,",  M(CR)  ",10(12),1000	,2	,4	,1	,1.3	,0.5	,0.2	,-	,0.5	,0.6	,6.63
Mattias Svanberg,"Wolfsburg, ",25,",  M(CLR)  ",20(5),1727	,1	,3	,1.7	,1	,0.6	,1.3	,0.1	,0.4	,1.4	,6.63
Fabian Nürnberger,"Darmstadt, ",24,",  D(L),M(CL)  ",17(4),1519	,1	,1	,0.9	,1.4	,0.9	,0.8	,-	,0.7	,0.7	,6.63
Diogo Leite,"Union Berlin, ",25,",  D(C)  ",31(1),2708	,-	,-	,0.4	,0.2	,0.2	,1	,-	,0.2	,0.8	,6.63
Pascal Stenzel,"Stuttgart, ",28,",  D(CR),M(R)  ",14(9),1092	,-	,5	,0.6	,0.7	,0.3	,0.5	,-	,0.3	,0.7	,6.62
Dayot Upamecano,"Bayern, ",25,",  D(C)  ",19(6),1765	,1	,-	,0.4	,0.2	,0.2	,0.3	,0.1	,0.2	,0.4	,6.62
Anthony Losilla,"Bochum, ",38,",  D(C),DMC  ",31,2588	,1	,2	,0.9	,0.6	,0.3	,0.7	,0.2	,0.4	,0.9	,6.62
Nathan Tella,"Leverkusen, ",25,",  M(CLR),FW  ",8(16),811	,5	,2	,0.9	,0.6	,0.3	,0.8	,0.2	,0.6	,0.8	,6.62
Yussuf Poulsen,"RBL, ",30,",  AM(CR),FW  ",12(16),1213	,5	,2	,1	,0.5	,0.4	,1	,0.1	,0.7	,0.9	,6.62
Noah Atubolu,"Freiburg, ",22,",  GK  ",34,3060	,-	,-	,-	,-	,-	,0.1	,-	,-	,0.1	,6.62
Maximilian Eggestein,"Freiburg, ",27,",  M(CR)  ",33,2919	,1	,1	,1.2	,0.8	,0.6	,0.7	,0.1	,0.6	,0.9	,6.61
Niklas Süle,"Borussia Dortmund, ",28,",  D(CR)  ",14(9),1510	,1	,-	,0.3	,0.2	,0.1	,-	,-	,0.3	,0.1	,6.61
Luca Netz,"Borussia M.Gladbach, ",21,",  D(L),M(L)  ",25(5),2233	,-	,4	,0.6	,1.3	,0.8	,0.5	,-	,0.9	,1.1	,6.61
Marvin Mehlem,"Darmstadt, ",26,",  M(CL)  ",19(1),1490	,3	,2	,1.2	,1.1	,0.5	,1.7	,0.4	,1	,1.9	,6.61
Lukas Kübler,"Freiburg, ",31,",  D(CLR),M(R)  ",22(4),1853	,1	,-	,0.3	,0.2	,0.1	,0.9	,0.1	,0.2	,0.3	,6.61
Florian Neuhaus,"Borussia M.Gladbach, ",27,",  M(C)  ",15(10),1226	,4	,2	,1.6	,0.8	,0.4	,0.7	,-	,0.6	,0.5	,6.61
Manuel Riemann,"Bochum, ",35,",  GK  ",33,2970	,-	,-	,-	,0.1	,-	,0.1	,-	,-	,0.1	,6.61
Robin Zentner,"Mainz, ",29,",  GK  ",30,2700	,-	,-	,-	,-	,-	,0.1	,-	,-	,-	,6.60
Luca Pfeiffer,"Darmstadt, ",27,",  AM(C),FW  ",20(4),1628	,1	,3	,2	,0.8	,0.3	,1.1	,-	,0.8	,1	,6.60
Roland Sallai,"Freiburg, ",27,",  M(CLR),FW  ",22(5),1852	,3	,-	,2.1	,1.1	,0.8	,1.6	,0.4	,0.6	,1.6	,6.60
Finn Dahmen,"Augsburg, ",26,",  GK  ",31,2790	,-	,-	,-	,-	,-	,0.1	,-	,-	,-	,6.59
Maximilian Wittek,"Bochum, ",28,",  D(L),M(LR)  ",13(8),1070	,3	,1	,1.2	,1.1	,0.5	,1.2	,0.1	,0.2	,0.7	,6.59
Mario Götze,"Eintracht Frankfurt, ",32,",  M(CLR),FW  ",23(7),2077	,3	,2	,0.4	,1.2	,0.6	,1.2	,-	,0.9	,1.1	,6.59
