Player_URL,Name,Team_URL,Team,Age,Position,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS,AerialsWon,MotM,Rating
https://www.whoscored.com/Players/300713/Show/Kylian-Mbapp%C3%A9,Kylian Mbappé,https://www.whoscored.com/Teams/304/Show/France-PSG,"PSG, ",25,",  AM(CLR),FW  ",24(5),2160	,27	,7	,4	,-	,4.1	,85.2	,-	,8	,7.71
https://www.whoscored.com/Players/300291/Show/Romain-Del-Castillo,Romain Del Castillo,https://www.whoscored.com/Teams/2332/Show/France-Brest,"Brest, ",28,",  AM(CLR),FW  ",30(3),2522	,8	,8	,4	,-	,1.2	,75.3	,0.7	,7	,7.35
https://www.whoscored.com/Players/244560/Show/Aleksandr-Golovin,Aleksandr Golovin,https://www.whoscored.com/Teams/248/Show/France-Monaco,"Monaco, ",28,",  M(CLR)  ",25,2155	,6	,6	,9	,1	,1.8	,80.7	,0.5	,3	,7.30
https://www.whoscored.com/Players/234377/Show/T%C3%A9ji-Savanier,Téji Savanier,https://www.whoscored.com/Teams/311/Show/France-Montpellier,"Montpellier, ",32,",  M(C)  ",32,2777	,9	,6	,8	,1	,2.6	,75.8	,0.7	,5	,7.28
https://www.whoscored.com/Players/299513/Show/Ousmane-Demb%C3%A9l%C3%A9,Ousmane Dembélé,https://www.whoscored.com/Teams/304/Show/France-PSG,"PSG, ",27,",  AM(CLR),FW  ",17(9),1510	,3	,8	,-	,-	,1.7	,81.8	,0.1	,4	,7.28
https://www.whoscored.com/Players/384887/Show/Vitinha,Vitinha,https://www.whoscored.com/Teams/304/Show/France-PSG,"PSG, ",24,",  M(C)  ",23(5),2130	,7	,4	,-	,-	,1.6	,91.3	,0.1	,1	,7.23
https://www.whoscored.com/Players/301243/Show/Pierre-Lees-Melou,Pierre Lees-Melou,https://www.whoscored.com/Teams/2332/Show/France-Brest,"Brest, ",31,",  M(CLR)  ",29,2521	,4	,-	,10	,1	,1.8	,86.5	,0.7	,4	,7.22
https://www.whoscored.com/Players/389020/Show/Georges-Mikautadze,Georges Mikautadze,https://www.whoscored.com/Teams/314/Show/France-Metz,"Metz, ",23,",  FW  ",20,1755	,13	,4	,1	,1	,2.9	,74.7	,0.8	,4	,7.17
https://www.whoscored.com/Players/363181/Show/Edon-Zhegrova,Edon Zhegrova,https://www.whoscored.com/Teams/607/Show/France-Lille,"Lille, ",25,",  AM(R)  ",25(8),2299	,6	,6	,3	,1	,2.5	,82.6	,0.2	,5	,7.15
https://www.whoscored.com/Players/408962/Show/Manuel-Ugarte,Manuel Ugarte,https://www.whoscored.com/Teams/304/Show/France-PSG,"PSG, ",23,",  DMC  ",21(4),1935	,-	,2	,5	,-	,0.4	,91.5	,0.6	,-	,7.15
https://www.whoscored.com/Players/371063/Show/Wilfried-Singo,Wilfried Singo,https://www.whoscored.com/Teams/248/Show/France-Monaco,"Monaco, ",23,",  D(CR),M(R)  ",24(1),2187	,1	,1	,8	,1	,0.8	,87.2	,2.6	,2	,7.15
https://www.whoscored.com/Players/262515/Show/Gianluigi-Donnarumma,Gianluigi Donnarumma,https://www.whoscored.com/Teams/304/Show/France-PSG,"PSG, ",25,",  GK  ",25,2170	,-	,-	,3	,1	,-	,87.1	,0.1	,2	,7.14
https://www.whoscored.com/Players/274934/Show/Florian-Sotoca,Florian Sotoca,https://www.whoscored.com/Teams/309/Show/France-Lens,"Lens, ",33,",  M(CR),FW  ",29(3),2603	,7	,6	,4	,1	,2.2	,77.5	,2.9	,3	,7.13
https://www.whoscored.com/Players/44120/Show/Pierre-Emerick-Aubameyang,Pierre-Emerick Aubameyang,https://www.whoscored.com/Teams/249/Show/France-Marseille,"Marseille, ",35,",  M(CLR),FW  ",30(4),2628	,17	,8	,4	,-	,3.4	,70.8	,0.8	,7	,7.09
https://www.whoscored.com/Players/370255/Show/Junya-Ito,Junya Ito,https://www.whoscored.com/Teams/950/Show/France-Reims,"Reims, ",31,",  M(LR),FW  ",31,2722	,3	,7	,2	,-	,1.5	,73.4	,0.6	,3	,7.09
https://www.whoscored.com/Players/43415/Show/Benjamin-Andr%C3%A9,Benjamin André,https://www.whoscored.com/Teams/607/Show/France-Lille,"Lille, ",33,",  D(R),M(CLR)  ",29(1),2575	,4	,-	,9	,-	,0.8	,84.3	,2.6	,3	,7.08
https://www.whoscored.com/Players/422187/Show/Bradley-Locko,Bradley Locko,https://www.whoscored.com/Teams/2332/Show/France-Brest,"Brest, ",22,",  D(L),M(L)  ",33,2961	,-	,3	,5	,-	,0.4	,85.5	,0.9	,1	,7.07
https://www.whoscored.com/Players/73078/Show/Alexandre-Lacazette,Alexandre Lacazette,https://www.whoscored.com/Teams/228/Show/France-Lyon,"Lyon, ",33,",  M(CLR),FW  ",27(2),2308	,19	,2	,3	,1	,2.1	,72.4	,0.9	,5	,7.07
https://www.whoscored.com/Players/280766/Show/J%C3%A9r%C3%A9mie-Boga,Jérémie Boga,https://www.whoscored.com/Teams/613/Show/France-Nice,"Nice, ",27,",  AM(CLR),FW  ",24(4),2011	,6	,6	,1	,-	,1.4	,84.8	,0.1	,4	,7.06
https://www.whoscored.com/Players/383855/Show/Jonathan-David,Jonathan David,https://www.whoscored.com/Teams/607/Show/France-Lille,"Lille, ",24,",  AM(C),FW  ",30(4),2641	,19	,4	,4	,-	,2.3	,82.7	,0.6	,3	,7.05
