Player_URL,Name,Team_URL,Team,Age,Position,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS,AerialsWon,MotM,Rating
https://www.whoscored.com/Players/299344/Show/Lautaro-Mart%C3%ADnez,Lautaro Martínez,https://www.whoscored.com/Teams/75/Show/Italy-Inter,"Inter, ",26,",  FW  ",31(2),2668	,24	,3	,5	,-	,3.3	,79.1	,1.2	,9	,7.53
https://www.whoscored.com/Players/370984/Show/Khvicha-Kvaratskhelia,Khvicha Kvaratskhelia,https://www.whoscored.com/Teams/276/Show/Italy-Napoli,"Napoli, ",23,",  AM(CLR),FW  ",32(2),2752	,11	,6	,8	,-	,3.8	,85.7	,0.4	,10	,7.50
https://www.whoscored.com/Players/110373/Show/Hakan-%C3%87alhanoglu,Hakan Çalhanoglu,https://www.whoscored.com/Teams/75/Show/Italy-Inter,"Inter, ",30,",  M(CLR),FW  ",32,2576	,13	,3	,5	,-	,1.9	,92.4	,0.8	,6	,7.41
https://www.whoscored.com/Players/349207/Show/Rafael-Le%C3%A3o,Rafael Leão,https://www.whoscored.com/Teams/80/Show/Italy-AC-Milan,"AC Milan, ",25,",  AM(CL),FW  ",29(5),2524	,9	,9	,5	,-	,2.1	,80	,0.7	,8	,7.31
https://www.whoscored.com/Players/296322/Show/Marcus-Thuram,Marcus Thuram,https://www.whoscored.com/Teams/75/Show/Italy-Inter,"Inter, ",26,",  AM(L),FW  ",34(1),2707	,13	,7	,3	,-	,2.2	,73.9	,2.1	,2	,7.29
https://www.whoscored.com/Players/302692/Show/Christian-Pulisic,Christian Pulisic,https://www.whoscored.com/Teams/80/Show/Italy-AC-Milan,"AC Milan, ",25,",  M(CLR),FW  ",32(4),2621	,12	,8	,2	,-	,1.8	,82.4	,0.4	,2	,7.16
https://www.whoscored.com/Players/333373/Show/Alessandro-Buongiorno,Alessandro Buongiorno,https://www.whoscored.com/Teams/72/Show/Italy-Torino,"Torino, ",25,",  D(C)  ",29,2530	,3	,-	,7	,-	,0.4	,85.4	,2.8	,6	,7.14
https://www.whoscored.com/Players/425079/Show/Mat%C3%ADas-Soul%C3%A9,Matías Soulé,https://www.whoscored.com/Teams/2732/Show/Italy-Frosinone,"Frosinone, ",21,",  AM(CR)  ",36,3141	,11	,3	,4	,-	,2.3	,81.5	,0.3	,3	,7.14
https://www.whoscored.com/Players/255929/Show/Federico-Dimarco,Federico Dimarco,https://www.whoscored.com/Teams/75/Show/Italy-Inter,"Inter, ",26,",  D(CL),M(L)  ",29(1),2105	,5	,6	,-	,-	,1.7	,85.2	,0.2	,2	,7.12
https://www.whoscored.com/Players/114863/Show/Paulo-Dybala,Paulo Dybala,https://www.whoscored.com/Teams/84/Show/Italy-Roma,"Roma, ",30,",  AM(CR),FW  ",25(3),1977	,13	,9	,3	,-	,2.1	,84.3	,0.3	,6	,7.12
https://www.whoscored.com/Players/289252/Show/Albert-Gudmundsson,Albert Gudmundsson,https://www.whoscored.com/Teams/278/Show/Italy-Genoa,"Genoa, ",27,",  AM(CLR),FW  ",34(1),3024	,14	,4	,4	,-	,1.6	,81.6	,0.1	,6	,7.10
https://www.whoscored.com/Players/116609/Show/Adrien-Rabiot,Adrien Rabiot,https://www.whoscored.com/Teams/87/Show/Italy-Juventus,"Juventus, ",29,",  DMC,M(L)  ",30(1),2651	,5	,3	,8	,-	,1.2	,84.4	,1.8	,4	,7.07
https://www.whoscored.com/Players/345322/Show/Nicol%C3%A1s-Gonz%C3%A1lez,Nicolás González,https://www.whoscored.com/Teams/73/Show/Italy-Fiorentina,"Fiorentina, ",26,",  M(CLR),FW  ",21(8),1914	,12	,2	,1	,-	,3	,74.1	,2.3	,2	,7.06
https://www.whoscored.com/Players/329665/Show/Alessandro-Bastoni,Alessandro Bastoni,https://www.whoscored.com/Teams/75/Show/Italy-Inter,"Inter, ",25,",  D(C)  ",28,2283	,1	,3	,5	,-	,0.5	,89.8	,1.4	,-	,7.06
https://www.whoscored.com/Players/319696/Show/Michele-Di-Gregorio,Michele Di Gregorio,https://www.whoscored.com/Teams/269/Show/Italy-Monza,"Monza, ",26,",  GK  ",33,2874	,-	,-	,-	,-	,-	,74.4	,0.2	,6	,7.03
https://www.whoscored.com/Players/383956/Show/Joshua-Zirkzee,Joshua Zirkzee,https://www.whoscored.com/Teams/71/Show/Italy-Bologna,"Bologna, ",23,",  FW  ",32(2),2772	,11	,4	,8	,-	,2.5	,78	,0.9	,5	,7.03
https://www.whoscored.com/Players/343308/Show/Teun-Koopmeiners,Teun Koopmeiners,https://www.whoscored.com/Teams/300/Show/Italy-Atalanta,"Atalanta, ",26,",  D(C),M(C)  ",29(5),2633	,12	,5	,5	,-	,1.6	,81.6	,0.9	,2	,7.03
https://www.whoscored.com/Players/386390/Show/Charles-De-Ketelaere,Charles De Ketelaere,https://www.whoscored.com/Teams/300/Show/Italy-Atalanta,"Atalanta, ",23,",  M(CLR),FW  ",25(10),2045	,10	,8	,1	,-	,1.3	,75.6	,1.1	,3	,7.03
https://www.whoscored.com/Players/299451/Show/Ademola-Lookman,Ademola Lookman,https://www.whoscored.com/Teams/300/Show/Italy-Atalanta,"Atalanta, ",26,",  AM(CLR),FW  ",22(9),1903	,11	,7	,4	,-	,2.2	,80.2	,0.6	,5	,7.01
https://www.whoscored.com/Players/149029/Show/Mattia-Zaccagni,Mattia Zaccagni,https://www.whoscored.com/Teams/77/Show/Italy-Lazio,"Lazio, ",29,",  AM(CL),FW  ",24(4),1974	,6	,1	,8	,-	,1.5	,84.1	,0.4	,5	,7.01
