Name,Team,Age,Position,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
Ritsu Doan,"Freiburg, ",26,",  M(CLR),FW  ",26(4),2255	,1.7	,0.3	,0.9	,-	,0.8	,0.5	,0.1	,-	,6.93
Xaver Schlager,"RBL, ",26,",  M(C)  ",29,2482	,2.8	,0.7	,1.2	,-	,0.9	,1.1	,0.3	,-	,6.93
Oliver Baumann,"Hoffenheim, ",34,",  GK  ",34,3060	,-	,-	,-	,-	,0.9	,-	,-	,-	,6.92
Vincenzo Grifo,"Freiburg, ",31,",  AM(CL)  ",29(3),2347	,1	,0.5	,0.4	,-	,0.6	,0.5	,-	,-	,6.92
Odilon Kossounou,"Leverkusen, ",23,",  D(CR)  ",21(1),1813	,1.4	,1.2	,0.8	,0.1	,1.8	,0.5	,0.1	,-	,6.92
Noussair Mazraoui,"Bayern, ",26,",  D(LR)  ",15(4),1198	,1.7	,1.1	,0.5	,0.1	,1.2	,0.4	,0.1	,-	,6.90
Bernardo,"Bochum, ",29,",  D(CLR),M(L)  ",33,2926	,3	,1.7	,1.6	,0.2	,3.2	,0.7	,0.9	,-	,6.90
Marco Friedl,"Werder Bremen, ",26,",  D(CL),M(L)  ",25,2199	,2.1	,1.4	,1.2	,0.7	,5.1	,0.5	,1.2	,-	,6.90
Robin Gosens,"Union Berlin, ",30,",  D(L),M(CL)  ",27(3),2300	,2.1	,1.2	,1	,0.1	,2.3	,0.5	,0.3	,-	,6.90
Keven Schlotterbeck,"Bochum, ",27,",  D(C)  ",24(3),2184	,1.6	,1.2	,1.3	,0.6	,3.7	,0.2	,0.9	,2	,6.89
Dan-Axel Zagadou,"Stuttgart, ",25,",  D(CL)  ",16(3),1453	,1.1	,1.1	,0.9	,0.9	,3.9	,0.2	,0.9	,1	,6.89
Emre Can,"Borussia Dortmund, ",30,",  D(CLR),DMC  ",22(3),1956	,2.5	,0.9	,1.1	,0.3	,1.5	,0.8	,0.3	,-	,6.88
Marco Reus,"Borussia Dortmund, ",35,",  M(CLR),FW  ",18(8),1612	,1.4	,0.2	,0.8	,-	,0.7	,0.6	,0.1	,-	,6.88
Robert Andrich,"Leverkusen, ",29,",  D(C),M(C)  ",18(10),1683	,1.1	,0.7	,0.8	,0.1	,0.6	,0.4	,0.1	,-	,6.88
Timo Hübers,"FC Koln, ",27,",  D(C)  ",31,2779	,2.2	,2	,1.4	,0.3	,5.4	,1	,0.9	,-	,6.88
Jeff Chabot,"FC Koln, ",26,",  D(C)  ",32,2708	,1.8	,1.4	,0.9	,0.5	,4.3	,0.8	,1.3	,-	,6.88
Marcel Sabitzer,"Borussia Dortmund, ",30,",  M(CLR),FW  ",23(2),1966	,1.6	,0.5	,0.6	,-	,1.3	,0.8	,0.5	,-	,6.87
Wout Weghorst,"Hoffenheim, ",31,",  FW  ",24(4),1987	,0.5	,0.2	,0.8	,-	,0.9	,0.2	,0.3	,-	,6.87
Thomas Müller,"Bayern, ",34,",  M(CLR),FW  ",20(11),1660	,0.8	,0.1	,0.4	,-	,0.2	,0.7	,-	,-	,6.86
Atakan Karazor,"Stuttgart, ",27,",  D(C),DMC  ",31(2),2630	,2.2	,0.8	,0.8	,-	,1.2	,0.9	,0.2	,-	,6.86
Willi Orbán,"RBL, ",31,",  D(C)  ",18(1),1583	,1.1	,0.8	,0.8	,0.4	,3.8	,0.5	,0.7	,-	,6.86
Michael Zetterer,"Werder Bremen, ",28,",  GK  ",27,2430	,0.1	,-	,-	,-	,0.6	,-	,-	,-	,6.85
Hiroki Ito,"Stuttgart, ",25,",  D(CL)  ",25(1),2232	,0.7	,1.1	,0.7	,0.3	,3	,0.6	,0.7	,-	,6.85
Max Wöber,"Borussia M.Gladbach, ",26,",  D(CL)  ",24(1),2070	,2.6	,1.5	,1.1	,0.3	,4.2	,0.9	,1	,-	,6.84
Mats Hummels,"Borussia Dortmund, ",35,",  D(C)  ",20(5),1583	,2.1	,1.3	,0.5	,0.6	,3.2	,0.9	,0.4	,-	,6.84
Gregor Kobel,"Borussia Dortmund, ",26,",  GK  ",27,2366	,-	,-	,0.1	,-	,0.9	,-	,-	,-	,6.84
Benjamin Sesko,"RBL, ",21,",  FW  ",17(14),1532	,0.4	,0.1	,0.5	,-	,0.9	,0.2	,0.1	,-	,6.83
Leandro Barreiro,"Mainz, ",24,",  DMC  ",29(2),2607	,2.1	,1.2	,1.9	,-	,1.7	,0.6	,0.5	,-	,6.83
Alassane Pléa,"Borussia M.Gladbach, ",31,",  AM(CLR),FW  ",24(3),1914	,0.6	,0.1	,0.6	,-	,0.2	,0.3	,-	,-	,6.82
Brajan Gruda,"Mainz, ",20,",  AM(C)  ",19(9),1652	,0.8	,0.2	,1	,-	,0.1	,0.4	,-	,-	,6.82
Phillip Tietz,"Augsburg, ",27,",  FW  ",31(3),2407	,0.7	,0.2	,1.2	,0.1	,1	,0.3	,0.1	,-	,6.81
Florian Grillitsch,"Hoffenheim, ",28,",  D(C),M(CL)  ",25(5),2297	,1.8	,1.7	,0.9	,0.4	,2.9	,1.1	,0.7	,-	,6.81
Kevin Behrens,"Union Berlin, ",33,",  FW  ",14(4),1266	,0.7	,0.3	,1.2	,-	,1	,0.2	,0.1	,-	,6.81
Mohamed Simakan,"RBL, ",24,",  D(CR)  ",23(9),2140	,1.5	,0.9	,1.1	,0.3	,2.1	,0.4	,0.4	,-	,6.79
Robin Hack,"Borussia M.Gladbach, ",25,",  AM(CLR),FW  ",14(15),1348	,0.5	,0.5	,0.6	,-	,0.5	,0.4	,-	,-	,6.78
Frederik Rønnow,"Union Berlin, ",31,",  GK  ",33,2970	,-	,-	,-	,-	,0.9	,-	,-	,-	,6.78
