Name,Team,Age,Position,Apps,Mins,Assists,KeyP,AvgP,PS,Crosses,LongB,ThrB,Rating
Amadou Onana,"Everton, ",22,",  DMC  ",23(7),2094	,-	,0.6	,34.1	,84.9	,-	,2	,0.1	,6.71
Jordan Pickford,"Everton, ",30,",  GK  ",38,3420	,-	,0.1	,37.6	,59.4	,-	,10.5	,-	,6.71
Emiliano Martínez,"Aston Villa, ",31,",  GK  ",34,3016	,-	,0.1	,37.4	,81.4	,-	,4.8	,-	,6.71
Harvey Elliott,"Liverpool, ",21,",  AM(CR)  ",11(23),1339	,6	,1.1	,26.6	,87.7	,0.6	,1.2	,0.1	,6.70
Rasmus Højlund,"Man Utd, ",21,",  FW  ",25(5),2172	,2	,0.9	,13	,77	,-	,0.3	,-	,6.70
Murillo,"Nottingham Forest, ",22,",  D(C)  ",32,2793	,2	,0.2	,45.1	,77.6	,-	,3.7	,-	,6.69
Marcus Rashford,"Man Utd, ",26,",  AM(CLR),FW  ",26(7),2279	,2	,0.8	,20.7	,79.2	,0.1	,0.8	,0.1	,6.69
Lucas Digne,"Aston Villa, ",30,",  D(CL),M(L)  ",27(6),2413	,3	,1.1	,30.7	,81.4	,1.1	,0.6	,-	,6.68
Bernd Leno,"Fulham, ",32,",  GK  ",38,3420	,-	,-	,37	,77.2	,-	,4.6	,-	,6.68
Vitaly Janelt,"Brentford, ",26,",  D(L),DMC  ",37(1),3072	,3	,1	,34.4	,79.9	,0.5	,1.6	,0.1	,6.68
Luis Sinisterra,"Bournemouth, ",25,",  AM(LR),FW  ",7(13),692	,2	,1	,14.1	,80.1	,0.1	,0.7	,-	,6.68
Sean Longstaff,"Newcastle, ",26,",  DMC  ",30(5),2748	,2	,0.6	,34.5	,80.9	,0.2	,1.3	,0.1	,6.67
João Gomes,"Wolves, ",23,",  DMC  ",32(2),2660	,1	,0.6	,36.4	,83.3	,0.4	,0.9	,0.1	,6.67
Mykhailo Mudryk,"Chelsea, ",23,",  AM(L)  ",18(13),1581	,2	,1	,15.4	,76.9	,0.5	,0.5	,0.1	,6.67
Raúl Jiménez,"Fulham, ",33,",  FW  ",18(6),1404	,-	,0.5	,15.5	,69.7	,0.1	,0.5	,0.1	,6.67
Matty Cash,"Aston Villa, ",26,",  D(R),M(CLR)  ",23(6),2144	,2	,0.4	,35.4	,84	,0.3	,1.1	,-	,6.66
Nathan Collins,"Brentford, ",23,",  D(CR)  ",29(3),2650	,1	,0.3	,45.9	,81.5	,-	,2.2	,-	,6.66
Neco Williams,"Nottingham Forest, ",23,",  D(LR),M(LR)  ",18(8),1634	,1	,0.4	,23	,72.4	,0.5	,0.8	,-	,6.66
Dara O'Shea,"Burnley, ",25,",  D(CR)  ",32(1),2895	,4	,0.4	,52.5	,79.7	,0.1	,3.3	,-	,6.66
Pape Sarr,"Tottenham, ",21,",  M(C)  ",27(7),2087	,3	,0.6	,38.6	,88.7	,0.1	,0.8	,0.1	,6.66
Josh Cullen,"Burnley, ",28,",  DMC  ",23(2),2060	,3	,1	,53.6	,86.7	,0.4	,1.4	,0.1	,6.65
Elliot Anderson,"Newcastle, ",21,",  AM(CL)  ",10(11),1024	,2	,0.7	,19.8	,82.9	,0.1	,0.2	,-	,6.65
James Trafford,"Burnley, ",21,",  GK  ",28,2520	,-	,-	,48.9	,62.1	,-	,6.5	,-	,6.65
Alisson Becker,"Liverpool, ",31,",  GK  ",28,2520	,-	,-	,35.6	,85.1	,-	,3	,-	,6.65
Moussa Diaby,"Aston Villa, ",25,",  M(CLR),FW  ",25(13),2188	,8	,1.2	,15	,82.6	,0.3	,0.2	,0.1	,6.65
Mark Flekken,"Brentford, ",31,",  GK  ",37,3286	,1	,0.1	,39.1	,69.4	,-	,8.7	,-	,6.65
Teden Mengi,"Luton, ",22,",  D(C)  ",28(2),2470	,-	,0.2	,30.9	,78.2	,-	,2.3	,-	,6.65
Bart Verbruggen,"Brighton, ",21,",  GK  ",21,1890	,-	,-	,35.4	,85.6	,-	,4.3	,-	,6.64
Ezri Konsa,"Aston Villa, ",26,",  D(CR)  ",35,3074	,-	,0.2	,55.8	,92.2	,0.1	,1.3	,-	,6.64
Mateo Kovacic,"Man City, ",30,",  M(CL)  ",16(14),1549	,-	,0.7	,50.8	,94.1	,-	,0.7	,0.1	,6.63
Abdoulaye Doucouré,"Everton, ",31,",  M(C)  ",32,2643	,2	,1.1	,27.1	,78.5	,0.1	,0.5	,-	,6.63
Ederson,"Man City, ",30,",  GK  ",33,2789	,-	,-	,33.2	,85.9	,-	,5.6	,-	,6.63
Timothy Castagne,"Fulham, ",28,",  D(CLR),M(LR)  ",29(5),2634	,3	,0.5	,39.7	,81.3	,0.3	,1.5	,-	,6.63
Youri Tielemans,"Aston Villa, ",27,",  M(C)  ",17(15),1622	,6	,0.6	,28.3	,86	,0.1	,1.1	,0.2	,6.63
Vinicius Souza,"Sheff Utd, ",25,",  DMC  ",29(7),2673	,-	,0.1	,27.2	,80.3	,0.1	,1.1	,-	,6.62
