Name,Team,Age,Position,Apps,Mins,Assists,KeyP,AvgP,PS,Crosses,LongB,ThrB,Rating
Jean-Ricner Bellegarde,"Wolves, ",26,",  M(CLR)  ",10(12),953	,1	,0.5	,12.8	,84.3	,0.1	,0.2	,-	,6.32
Beto,"Everton, ",26,",  FW  ",9(21),939	,-	,0.4	,5.8	,61.5	,-	,0.2	,-	,6.32
Tariq Lamptey,"Brighton, ",23,",  D(LR),M(R)  ",10(9),916	,3	,0.5	,19.5	,87.9	,0.5	,0.4	,-	,6.32
Oliver Norwood,"Sheff Utd, ",33,",  M(C)  ",16(11),1433	,-	,0.6	,31.7	,72.2	,0.6	,2.5	,-	,6.31
Vitinho,"Burnley, ",24,",  D(LR),M(LR)  ",26(6),2320	,2	,0.3	,23.6	,77.1	,0.2	,0.8	,-	,6.31
Tommy Doyle,"Wolves, ",22,",  AM(C)  ",11(15),1216	,-	,0.3	,35	,86.4	,0.2	,2.9	,-	,6.30
Jay Rodríguez,"Burnley, ",34,",  AM(CLR),FW  ",7(14),815	,1	,0.2	,10.2	,66	,-	,0.3	,-	,6.29
Anel Ahmedhodzic,"Sheff Utd, ",25,",  D(C)  ",29(2),2650	,-	,0.2	,30.8	,75.6	,-	,1.5	,-	,6.28
Yehor Yarmoliuk,"Brentford, ",20,",  M(C)  ",6(21),676	,-	,0.1	,10.4	,77.3	,-	,0.3	,-	,6.27
Cauley Woodrow,"Luton, ",29,",  AM(C),FW  ",2(22),411	,1	,0.4	,5.8	,74.8	,0.2	,-	,-	,6.26
Ansu Fati,"Brighton, ",21,",  AM(L),FW  ",3(16),514	,-	,0.3	,10.7	,87.3	,-	,0.3	,0.1	,6.26
Max Aarons,"Bournemouth, ",24,",  D(R)  ",13(7),1233	,1	,0.4	,22.6	,76.7	,0.2	,1	,0.1	,6.25
Saman Ghoddos,"Brentford, ",30,",  M(CLR),FW  ",7(12),730	,-	,0.5	,19.4	,76.4	,0.6	,0.7	,-	,6.24
Sofyan Amrabat,"Man Utd, ",27,",  D(L),DMC  ",10(11),933	,-	,0.3	,30.7	,88.1	,-	,1.7	,-	,6.24
Hugo Bueno,"Wolves, ",21,",  D(L),M(L)  ",7(15),731	,-	,0.3	,15	,80.6	,0.5	,0.2	,-	,6.24
Nicolò Zaniolo,"Aston Villa, ",25,",  AM(CLR),FW  ",9(16),831	,-	,0.4	,8.3	,71.6	,-	,0.1	,-	,6.24
Divock Origi,"Nottingham Forest, ",29,",  AM(LR),FW  ",6(14),601	,1	,0.4	,6.6	,67.9	,0.2	,0.3	,0.2	,6.21
Oliver Skipp,"Tottenham, ",23,",  DMC  ",5(16),695	,-	,0.3	,17.8	,91.7	,-	,0.7	,-	,6.20
Boubacar Traoré,"Wolves, ",22,",  M(C)  ",7(17),806	,-	,0.3	,18.5	,84.9	,0.1	,0.6	,-	,6.20
Danny Ings,"West Ham, ",31,",  AM(C),FW  ",3(17),392	,-	,0.3	,5.3	,72.4	,-	,0.1	,-	,6.19
Andre Brooks,"Sheff Utd, ",20,",  M(C)  ",12(8),944	,-	,0.2	,12.4	,77	,-	,0.2	,-	,6.18
Adam Lallana,"Brighton, ",36,",  M(CLR)  ",13(12),854	,1	,0.6	,20	,90	,0.1	,0.1	,0.1	,6.17
Ben Osborn,"Sheff Utd, ",29,",  D(L),M(CLR)  ",14(10),1363	,2	,0.5	,21.1	,77.7	,0.4	,1	,-	,6.17
Naouirou Ahamada,"Crystal Palace, ",22,",  M(C)  ",0(20),334	,-	,0.1	,9	,82.7	,-	,0.4	,-	,6.08
Pelly Ruddock Mpanzu,"Luton, ",30,",  M(C)  ",11(16),1094	,-	,0.2	,12.7	,74.9	,0.1	,0.6	,-	,6.08
William Osula,"Sheff Utd, ",20,",  FW  ",9(12),785	,-	,-	,4.3	,53.3	,-	,-	,-	,6.00
