Name,Popularity
Kacper Urbanski
Corentin Tolisso
Diogo Jota,2
Arnau Martínez
Keven Schlotterbeck
Omar Alderete
Conan Ledesma
Mikkel Kaufmann
Raúl Albiol
Ander Herrera
Ruben Loftus-Cheek
André Onana,3
Reda Khadra
Nikola Dovedan
Ander Guevara
Dusan Vlahovic,2
Iago Aspas,2
Abdoulaye Touré
Phil Foden,5
Kenny Lala
Tim Kleindienst
Issiaga Sylla
Darwin Núñez,4
José Sá
Jean-Ricner Bellegarde
Pedro Neto
Nicolas Pallois
Laurent Abergel
Ylber Ramadani
Steve Mandanda
Jaime Mata
Aurélio Buta
Lucas Paquetá
Jacopo Fazzini
Dany Mota
Oriol Romeu,2
Marc Roca
César Azpilicueta,2
Moisés Caicedo
Jonathan Bamba
Denzel Dumfries
Luis Sinisterra
Gonçalo Ramos
Frenkie de Jong,4
Miguel Rubio
Piero Hincapié
Yannick Gerhardt
Hassane Kamara
Lamine Camara
Umar Sadiq
Brais Méndez
Amadou Haidara
Kyle Walker,3
Tiago Tomás
Mathys Tel
Pierre-Emerick Aubameyang,2
Romain Perraud
Lassana Coulibaly
Étienne Youté
Norbert Gyömbér
Georges Mikautadze
Xaver Schlager
Festy Ebosele
Sergi Cardona
Kristian Thorstvedt
Théo Hernández,4
Julián Araujo
Gustav Isaksen
Gautier Lloris
Juan Cruz
Oihan Sancet
Jaka Bijol
Matheus Cunha
Florian Thauvin
Jérôme Roussillon
Yunus Musah
Cyle Larin
Cristian Cásseres
Taiwo Awoniyi
Lucas Vázquez,3
Atakan Karazor
Ivan Cavaleiro
Frank Anguissa
Alberto Moreno
Jessy Deminguet
Marco Richter
Deniz Undav
Andoni Gorosabel
Odilon Kossounou
Christian Groß
Marko Arnautovic,2
Ansu Fati,3
Federico Baschirotto
Jorge Cuenca
Cenk Özkacar
Unai Núñez
Warren Kamanzi
Antoine Makoumbou
Luis Rioja
Martin Dúbravka
Lucas Martínez Quarta
Jefferson Lerma
Roland Sallai
Alberto Moleiro
Kevin Trapp
Jonathan Tah
Emmanuel Sabbi
Remo Freuler
Hamza Rafia
Formose Mendy
Benno Schmitz
Josep Martínez
Bernd Leno
Carlos Benavídez
Mohamed Simakan
Keito Nakamura
Benito Ramírez
Victor Osimhen,4
Domagoj Bradaric
Jesper Lindstrøm
Loum Tchaouna
Evann Guessand
Sasa Lukic
Karim Adeyemi
Harry Maguire,3
Álex Pozo
Kike Pérez
Alfonso Espino
Robin Hack
M'Bala Nzola
Borja Mayoral
Nathan Tella
Antonio Candreva
Nathan Patterson
Dominic Calvert-Lewin,2
Juanmi Latasa
Pedro Pereira
Giorgi Mamardashvili,2
Edgar González
Amir Richardson
