Name,Popularity
Sean Longstaff,1
Hákon Haraldsson,1
Gastón Álvarez,1
Javi López,1
Rafa Marín,1
Hugo Duro,1
Junya Ito,1
Alessio Romagnoli,1
Robin Koch,1
Djibril Sow,1
Igor Julio,1
Kevin Müller,1
Justin Njinmah,1
Aleix García,1
Albert Gudmundsson,1
Julien Ponceau,1
Chris Führich,1
Rayan Aït-Nouri,1
Declan Rice,3
Francesco Acerbi,1
Manuel Ugarte,1
Giovanni González,1
Willy-Arnaud Boly,1
Adrien Tameze,1
Ismail Jakobs,1
Christophe Hérelle,1
Aster Vranckx,1
Matthieu Udol,1
Dayot Upamecano,2
Mykhailo Mudryk,2
Pavel Kaderábek,1
Joe Scally,1
Ihlas Bebou,1
Kévin N'Doram,1
Óscar Melendo,1
Roberto Gagliardini,1
Przemyslaw Frankowski,1
Jonas Hofmann,1
Sergi Guardiola,1
Jarrad Branthwaite,1
Ritsu Doan,1
Pierre Lees-Melou,1
Ridle Baku,1
Lewis Ferguson
Jordan Veretout
Rémy Cabella
Ibrahima Konaté,2
Armando Izzo
James Maddison
Alessandro Florenzi
Marcel Schuhen,
Abde Ezzalzouli
Kevin Danso
Raoul Bellanova
Rodrigo Muniz
Hugo Guillamón
Erling Haaland,5
James Trafford,
Yeray Álvarez,
Christopher Trimmel
Luís Maximiano,
David Soria,2
Benedikt Gimber
Mattéo Guendouzi,2
Fran Beltrán
Suat Serdar
Janik Haberer
Joel Ward
Brenden Aaronson
Akor Adams
Yoann Salmier
Adam Smith
Klaus Gjasula
Azzedine Ounahi
Moritz Jenz
Jonathan Gradit
Lazar Samardzic
Finn Becker
Pascal Groß
Kevin Gameiro
Max Aarons
Ondrej Duda
Caleb Ekuban
Jordan Ferri
Gabriel Jesus,3
Julian Brandt,2
Murillo
Ademola Lookman
Victor Chust
Sepp van den Berg
Renato Tapia
Philipp Köhn,
András Schäfer
Moussa Diaby,2
Vítinha
Salis Abdul Samed
Pape Sarr
Jonny Evans
Ryan Yates
Enzo Loiodice
Rasmus Carstensen
Antoine Joujou
Elliot Anderson
Ruslan Malinovskyi
Jacob Brown
Emanuel Emegha
Lucas Tousart
Gianluca Scamacca
Yassine Kechta
Carlos Baleba
Martín Satriano
Rubén Duarte
Maximilian Arnold
James Ward-Prowse
Álex Grimaldo,3
Bertug Yildirim
Ørjan Nyland,
Marcus Tavernier
Ciro Immobile
Álex Fernández
Cristian Romero
Bruno Fernandes,4
Nicolas Viola
Ángel Correa
Florian Neuhaus
Donyell Malen
Jakub Kiwior
Juan Cabal
Waldemar Anton
Rasmus Nicolaisen
Mërgim Vojvoda
Nico Elvedi
Martin Terrier
Stefan de Vrij
Harrison Reed
Jan Thielmann
Marco Bizot
Hiroki Ito
Falaye Sacko
Cristhian Mosquera
Roman Yaremchuk
Íñigo Ruíz de Galarreta
Gédéon Kalulu
Désiré Doué
Yehor Yarmoliuk
Alexander Nübel
Andrea Consigli
Matthias Bader
Shamar Nicholson
Kévin Van Den Kerkhof
Maxime Lopez
Khéphren Thuram,2
Théo Le Bris
Merlin Röhl
Alexis Sánchez,3
Aurélien Tchouaméni,4
Danny Ings
Matheus Henrique
Ashley Young
Rubén Vargas
Remi Oudin
Pepelu
Amir Rrahmani
Michele Di Gregorio
Lorenzo Montipò
Junior Dina Ebimbe
Lilian Brassier
Alessandro Deiola
Bafodé Diakité
Lyle Foster
Will Hughes
Nathan Aké,2
Maxime Gonalons
Konstantinos Mavropanos
Mikel Oyarzabal,3
Sebastiano Luperto
Rubén Sobrino
Max Finkgräfe
Juanlu Sánchez
Luca Pfeiffer
Rodrygo,4
Loïs Openda
Darko Lazovic
Denis Zakaria
Dara O'Shea
Myrto Uzuni
Luis Alberto,2
Casemiro,3
Tino Livramento
Raphinha,2
Leandro Barreiro
Neal Maupay
Takumi Minamino
Gaetano Oristanio
Philipp Max
Radamel Falcao,2
Grejohn Kyei
Kamory Doumbia
Nathan Ngoumou
Marc Guéhi
Jonathan Clauss
David García
Carlos Domínguez
Warren Bondo
Felipe Anderson
Hugo Bueno
Valery Fernández
Adrian Beck
Chris Wood
Warmed Omari
Lucas Boyé
Alphonso Davies,3
Raphaël Varane,3
Jon Pacheco
Rui Silva
Álvaro Vallés
Tijjani Reijnders
Mads Pedersen
Saman Ghoddos
Mario Pasalic
Mario Götze,2
Christopher Antwi-Adjei
Saúl Coco
Óscar Valentín
Cristiano Biraghi
Jóhann Gudmundsson
Tuta
Emerson Royal
Marc Pubill
Alexis Saelemaekers
Pathé Ciss
Josh Brownhill
Vincent Sierro
Dango Ouattara
Malick Thiaw
Yehvann Diouf
Stanislav Lobotka,2
Antonio Raíllo
Diogo Leite
Andy Diouf
João Pedro
Nikola Vlasic
Wilson Odobert
Mike Maignan,3
Mousa Al Ta'mari
Idrissa Gueye
Gabriel Martinelli
Óscar Mingueza
Ayoze Pérez
Aleksey Miranchuk
Matthias Ginter
Antoine Semenyo
Antonio Sanabria
Mateo Kovacic,3
Arthur Desmas
Konrad Laimer
Antonín Barák
Benjamin André
Mehdi Zeffane
Lee Kang-In
Rubén Peña
Pierre-Emile Højbjerg
Maxi Gómez
Frederik Rønnow,0.212
Milos Kerkez
Jérémy Le Douaron
Romain Del Castillo
Julián Álvarez,4
